make_model,body_type,Body Color,km,hp,Gearing Type,Extras,price
Audi A1,Sedans,Black,15850,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18500
Audi A1,Sedans,Grey,17000,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control,Winter tyres",18900
Audi A1,Sedans,Black,9077,85,Automatic,Alloy wheels,18850
Audi A1,Sedans,White,3000,85,Automatic,"Alloy wheels,Voice Control",18500
Audi A1,Sedans,White,115000,85,Manual,"Alloy wheels,Winter tyres",8999
Audi A1,Compact,Blue,84029,85,Manual,"Alloy wheels,Voice Control",11444
Audi A1,Sedans,Black,67800,85,Manual,Alloy wheels,11300
Audi A1,Compact,Black,22000,85,Manual,Alloy wheels,11290
Audi A1,Compact,Black,38400,85,Manual,Alloy wheels,11290
Audi A1,Sedans,Black,83307,85,Manual,"Alloy wheels,Catalytic Converter",11440
Audi A1,Compact,Brown,39668,85,Manual,"Alloy wheels,Catalytic Converter",11445
Audi A1,Sedans,Black,30353,85,Manual,Catalytic Converter,11700
Audi A1,Sedans,White,126000,85,Manual,Alloy wheels,11900
Audi A1,Compact,White,57500,85,Manual,Catalytic Converter,11949
Audi A1,Sedans,White,73945,85,Manual,Alloy wheels,11890
Audi A1,Sedans,Red,96000,85,Manual,Alloy wheels,11600
Audi A1,Sedans,Red,43120,85,Manual,"Alloy wheels,Sport seats,Sport suspension",11900
Audi A1,Compact,Silver,110715,85,Manual,"Alloy wheels,Sport suspension",11630
Audi A1,Compact,Black,31971,85,Manual,Catalytic Converter,11880
Audi A1,Compact,Grey,94800,85,Manual,Alloy wheels,11800
Audi A1,Compact,Grey,85000,85,Manual,Alloy wheels,11850
Audi A1,Compact,Black,111265,85,Manual,Alloy wheels,11569
Audi A1,Sedans,Black,97976,85,Manual,"Alloy wheels,Voice Control",11490
Audi A1,Sedans,Grey,106000,85,Manual,Alloy wheels,11500
Audi A1,Sedans,Black,60000,85,Manual,Alloy wheels,11790
Audi A1,Compact,Black,58000,85,Manual,"Alloy wheels,Sport seats,Sport suspension",11490
Audi A1,Compact,Black,57454,85,Manual,"Catalytic Converter,Sport suspension,Voice Control",11470
Audi A1,Compact,White,94055,85,Manual,"Alloy wheels,Sport seats",11480
Audi A1,Sedans,Black,56000,85,Manual,Alloy wheels,11180
Audi A1,Sedans,White,27600,85,Manual,"Alloy wheels,Sport seats,Sport suspension",11450
Audi A1,Compact,Black,111670,85,Manual,Alloy wheels,11100
Audi A1,Compact,Black,30500,85,Manual,Catalytic Converter,10900
Audi A1,Compact,Black,69500,85,Manual,Alloy wheels,10999
Audi A1,Compact,White,43500,85,Manual,Alloy wheels,10900
Audi A1,Sedans,Black,45696,85,Manual,Alloy wheels,10950
Audi A1,Sedans,Blue,34000,85,Manual,"Alloy wheels,Sport seats,Sport suspension",10800
Audi A1,Sedans,Red,55000,85,Manual,Alloy wheels,10600
Audi A1,Sedans,Black,99000,85,Manual,"Alloy wheels,Touch screen,Voice Control",10800
Audi A1,Sedans,Red,85000,85,Manual,"Catalytic Converter,Voice Control,Winter tyres",10300
Audi A1,Sedans,Black,192000,85,Manual,Alloy wheels,10000
Audi A1,Compact,White,130000,85,Manual,Alloy wheels,10490
Audi A1,Compact,Grey,41294,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,White,64000,85,Automatic,"Alloy wheels,Sport seats",18900
Audi A1,Sedans,Grey,13135,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Silver,4250,85,Automatic,"Alloy wheels,Shift paddles,Sport package,Sport seats,Sport suspension,Voice Control",18900
Audi A1,Sedans,Silver,2949,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18890
Audi A1,Compact,Black,22800,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",18890
Audi A1,Sedans,Black,5108,85,Automatic,"Alloy wheels,Sport seats,Sport suspension,Voice Control",18880
Audi A1,Sedans,White,11335,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control",18880
Audi A1,Compact,Red,6396,85,Automatic,"Alloy wheels,Sport seats",18880
Audi A1,Compact,Grey,47800,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",18880
Audi A1,Compact,Black,30952,85,Automatic,"Alloy wheels,Sport seats,Sport suspension,Voice Control",18880
Audi A1,Sedans,White,33991,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Voice Control",18880
Audi A1,Sedans,White,35800,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",18870
Audi A1,Sedans,Silver,7672,85,Automatic,Alloy wheels,18850
Audi A1,Sedans,Black,13406,85,Automatic,"Alloy wheels,Catalytic Converter,Shift paddles,Voice Control",18500
Audi A1,Compact,Blue,8430,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Sport suspension",18870
Audi A1,Compact,Red,40488,85,Automatic,"Alloy wheels,Shift paddles,Sport suspension,Voice Control",18497
Audi A1,Compact,Grey,24200,85,Automatic,Alloy wheels,18490
Audi A1,Compact,Brown,26500,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension",18490
Audi A1,Compact,Black,58806,85,Automatic,Alloy wheels,18490
Audi A1,Sedans,White,39000,85,Automatic,"Alloy wheels,Sport seats",18500
Audi A1,Sedans,Red,16700,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Sport suspension",18490
Audi A1,Sedans,White,41900,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control",18490
Audi A1,Compact,Black,15093,85,Automatic,"Alloy wheels,Voice Control",18480
Audi A1,Sedans,Red,5211,85,Automatic,"Alloy wheels,Sport seats",18480
Audi A1,Compact,White,12000,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats",18470
Audi A1,Compact,Grey,50066,85,Automatic,"Alloy wheels,Sport package,Sport seats",18444
Audi A1,Compact,Red,51484,85,Automatic,Alloy wheels,18400
Audi A1,Sedans,Black,14770,85,Automatic,Alloy wheels,18400
Audi A1,Sedans,Black,12415,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Silver,26064,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Black,16500,85,Automatic,"Alloy wheels,Catalytic Converter,Handicapped enabled,Shift paddles,Voice Control",18900
Audi A1,Sedans,Black,9000,85,Automatic,"Sport seats,Sport suspension",18900
Audi A1,Sedans,Black,12402,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,White,14702,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,White,14523,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Black,9082,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Blue,9580,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Sedans,Blue,10013,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Sedans,Grey,10450,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Sedans,Silver,14878,85,Automatic,Alloy wheels,18900
Audi A1,Sedans,Grey,10273,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Compact,White,47500,85,Automatic,"Alloy wheels,Sport suspension",18900
Audi A1,Sedans,Blue,9466,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Sedans,Silver,18971,85,Automatic,Alloy wheels,18900
Audi A1,Compact,White,31877,85,Automatic,"Alloy wheels,Voice Control",18900
Audi A1,Sedans,White,9878,85,Automatic,"Alloy wheels,Sport package,Sport seats",18900
Audi A1,Compact,Black,17535,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats",18900
Audi A1,Compact,Brown,76264,85,Automatic,Alloy wheels,18850
Audi A1,Compact,Silver,6695,85,Automatic,"Catalytic Converter,Sport seats,Sport suspension",18850
Audi A1,Sedans,Brown,21275,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control",18850
Audi A1,Sedans,Blue,12261,85,Automatic,Alloy wheels,18850
Audi A1,Sedans,Silver,3620,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18840
Audi A1,Sedans,Black,8330,85,Automatic,"Alloy wheels,Sport seats",18800
Audi A1,Compact,White,20306,85,Automatic,"Alloy wheels,Voice Control",18750
Audi A1,Sedans,Grey,27000,85,Automatic,Alloy wheels,18700
Audi A1,Sedans,Black,31750,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",18690
Audi A1,Sedans,Red,19800,85,Automatic,"Alloy wheels,Sport package,Winter tyres",18600
Audi A1,Sedans,White,52000,85,Automatic,"Sport seats,Sport suspension",18500
Audi A1,Sedans,Grey,15500,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Voice Control",18500
Audi A1,Sedans,Blue,65000,85,Automatic,Alloy wheels,18500
Audi A1,Sedans,White,14493,85,Automatic,Alloy wheels,18500
Audi A1,Sedans,Red,33500,85,Automatic,"Alloy wheels,Trailer hitch,Voice Control",18500
Audi A1,Compact,Black,4800,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18333
Audi A1,Compact,Grey,51000,85,Automatic,Alloy wheels,18350
Audi A1,Sedans,Black,7307,85,Automatic,"Alloy wheels,Sport seats",18349
Audi A1,Compact,Black,4800,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18333
Audi A1,Compact,Black,5500,85,Automatic,"Alloy wheels,Sport seats,Voice Control",18333
Audi A1,Sedans,Silver,35500,85,Automatic,"Alloy wheels,Catalytic Converter,Handicapped enabled",18300
Audi A1,Sedans,Blue,40000,85,Automatic,"Alloy wheels,Sport seats",18290
Audi A1,Sedans,Silver,14551,85,Automatic,Alloy wheels,18250
Audi A1,Compact,Black,26700,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",18185
Audi A1,Sedans,Beige,8000,85,Automatic,"Alloy wheels,Sport seats",18150
Audi A1,Compact,Grey,15000,85,Automatic,"Alloy wheels,Catalytic Converter,Shift paddles",18000
Audi A1,Compact,Silver,14436,85,Automatic,"Alloy wheels,Catalytic Converter",17998
Audi A1,Compact,Grey,72624,85,Automatic,"Alloy wheels,Sport package,Sport suspension",17998
Audi A1,Sedans,White,13960,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17990
Audi A1,Sedans,Red,40301,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats",17990
Audi A1,Compact,Blue,3087,85,Automatic,Alloy wheels,17990
Audi A1,Compact,Black,37626,85,Automatic,"Alloy wheels,Sport package,Voice Control",17989
Audi A1,Sedans,Black,22980,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17980
Audi A1,Compact,Grey,57926,85,Automatic,Alloy wheels,17980
Audi A1,Compact,Silver,6257,85,Automatic,"Alloy wheels,Sport seats",17970
Audi A1,Sedans,Silver,29800,85,Automatic,Alloy wheels,17950
Audi A1,Compact,Black,35816,85,Automatic,Alloy wheels,17950
Audi A1,Sedans,Grey,12960,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control",17950
Audi A1,Compact,Black,8600,85,Automatic,"Alloy wheels,Sport seats,Voice Control",17950
Audi A1,Sedans,Blue,14300,85,Automatic,"Alloy wheels,Sport seats,Voice Control",17950
Audi A1,Sedans,White,9463,85,Automatic,Alloy wheels,17944
Audi A1,Compact,Red,70000,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",17950
Audi A1,Sedans,Black,51900,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",17500
Audi A1,Sedans,Blue,15000,85,Automatic,Alloy wheels,17500
Audi A1,Sedans,Red,33000,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17500
Audi A1,Sedans,Silver,42000,85,Automatic,"Alloy wheels,Sport package",17500
Audi A1,Sedans,Blue,25976,85,Automatic,"Alloy wheels,Voice Control",17930
Audi A1,Sedans,Black,26299,85,Automatic,Alloy wheels,17500
Audi A1,Sedans,Black,36530,85,Automatic,"Alloy wheels,Sport seats,Voice Control",17490
Audi A1,Sedans,Grey,29159,85,Automatic,"Alloy wheels,Sport seats",17490
Audi A1,Sedans,Black,55000,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",17490
Audi A1,Sedans,Grey,40133,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17449
Audi A1,Compact,White,38562,85,Automatic,"Alloy wheels,Catalytic Converter",17445
Audi A1,Compact,Black,7300,85,Automatic,"Alloy wheels,Sport seats,Voice Control",17444
Audi A1,Station wagon,Blue,10457,85,Automatic,"Alloy wheels,Sport seats",17440
Audi A1,Compact,Black,38344,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17450
Audi A1,Sedans,Red,45276,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control",17445
Audi A1,Compact,White,16607,85,Automatic,"Alloy wheels,Voice Control",17370
Audi A1,Compact,Black,26462,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17350
Audi A1,Compact,White,62000,85,Automatic,"Alloy wheels,Sport package,Voice Control",17900
Audi A1,Compact,Black,40257,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control",17930
Audi A1,Compact,Black,36709,85,Automatic,Sport suspension,17920
Audi A1,Sedans,Grey,25330,85,Automatic,Alloy wheels,17900
Audi A1,Compact,Grey,10170,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Sport suspension",17900
Audi A1,Sedans,Silver,12260,85,Automatic,Alloy wheels,17900
Audi A1,Sedans,Blue,13000,85,Automatic,"Sport seats,Sport suspension",17900
Audi A1,Sedans,Grey,63136,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17900
Audi A1,Sedans,Blue,23357,85,Automatic,Alloy wheels,17900
Audi A1,Compact,White,40000,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",17900
Audi A1,Sedans,Grey,63136,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17900
Audi A1,Sedans,Silver,27950,85,Automatic,"Alloy wheels,Sport seats",17890
Audi A1,Sedans,Blue,3150,85,Automatic,Alloy wheels,16900
Audi A1,Sedans,Blue,32700,85,Automatic,Alloy wheels,16900
Audi A1,Compact,Red,67790,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",16900
Audi A1,Sedans,Silver,63500,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17890
Audi A1,Sedans,Blue,37702,85,Automatic,Alloy wheels,17900
Audi A1,Sedans,Grey,40164,85,Automatic,"Alloy wheels,Sport package",17900
Audi A1,Sedans,White,47750,85,Automatic,"Alloy wheels,Sport seats",16900
Audi A1,Compact,Black,39600,85,Automatic,"Alloy wheels,Voice Control",16890
Audi A1,Sedans,Red,29200,85,Automatic,Alloy wheels,16890
Audi A1,Sedans,Grey,32103,85,Automatic,Alloy wheels,16880
Audi A1,Compact,Red,19700,85,Automatic,"Alloy wheels,Sport package",16880
Audi A1,Compact,Blue,6680,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",16880
Audi A1,Sedans,Grey,49100,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",16880
Audi A1,Compact,Silver,30348,85,Automatic,Alloy wheels,16879
Audi A1,Compact,Blue,7680,85,Automatic,"Alloy wheels,Sport seats",16870
Audi A1,Sedans,Black,36400,85,Automatic,"Alloy wheels,Sport seats,Voice Control",16850
Audi A1,Compact,White,50200,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport suspension,Voice Control",16830
Audi A1,Sedans,Blue,47500,85,Automatic,Alloy wheels,16876
Audi A1,Compact,Brown,24762,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats",16820
Audi A1,Sedans,Blue,36236,85,Automatic,"Alloy wheels,Catalytic Converter",16800
Audi A1,Sedans,Black,18556,85,Automatic,Alloy wheels,16780
Audi A1,Compact,White,36625,85,Automatic,"Alloy wheels,Sport seats,Voice Control",16530
Audi A1,Sedans,Brown,25000,85,Automatic,Alloy wheels,16500
Audi A1,Sedans,Black,36041,85,Automatic,Alloy wheels,16500
Audi A1,Sedans,Red,36500,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control",16500
Audi A1,Sedans,Brown,25000,85,Automatic,Alloy wheels,16500
Audi A1,Sedans,Blue,66000,85,Automatic,"Alloy wheels,Shift paddles",16500
Audi A1,Sedans,Black,90000,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",16490
Audi A1,Sedans,Red,14000,85,Automatic,"Alloy wheels,Sport seats",16490
Audi A1,Sedans,Blue,16081,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",16490
Audi A1,Sedans,White,18392,85,Automatic,"Alloy wheels,Sport seats,Voice Control",16450
Audi A1,Compact,Blue,40800,85,Automatic,Alloy wheels,16480
Audi A1,Compact,Blue,60490,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control",16480
Audi A1,Compact,White,33142,85,Automatic,"Alloy wheels,Sport seats,Voice Control",16444
Audi A1,Compact,Black,40500,85,Automatic,Alloy wheels,16430
Audi A1,Sedans,Black,13819,85,Automatic,Alloy wheels,16443
Audi A1,Sedans,Black,18800,85,Automatic,"Alloy wheels,Shift paddles,Sport package,Voice Control",17300
Audi A1,Sedans,Black,25000,85,Automatic,"Alloy wheels,Voice Control,Winter tyres",17150
Audi A1,Sedans,White,46000,85,Automatic,Alloy wheels,17000
Audi A1,Compact,Blue,31987,85,Automatic,"Sport package,Sport seats,Sport suspension,Voice Control",16999
Audi A1,Sedans,Black,57178,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",16995
Audi A1,Sedans,Black,36500,85,Automatic,"Alloy wheels,Sport seats,Sport suspension,Voice Control",16990
Audi A1,Compact,Red,59500,85,Automatic,"Alloy wheels,Catalytic Converter",16980
Audi A1,Sedans,Silver,26861,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",16970
Audi A1,Compact,Black,13200,85,Automatic,"Alloy wheels,Sport seats,Voice Control",16950
Audi A1,Compact,Red,19177,85,Automatic,"Alloy wheels,Sport suspension",16975
Audi A1,Compact,Black,19044,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",16950
Audi A1,Compact,White,40500,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control",16930
Audi A1,Sedans,Red,33000,85,Automatic,"Alloy wheels,Sport seats,Sport suspension,Voice Control",16900
Audi A1,Compact,Silver,21000,85,Automatic,"Alloy wheels,Voice Control",16900
Audi A1,Sedans,Black,58033,85,Automatic,Alloy wheels,16900
Audi A1,Sedans,Grey,12500,85,Automatic,Alloy wheels,17890
Audi A1,Sedans,Black,36530,85,Automatic,"Alloy wheels,Sport seats",17890
Audi A1,Compact,Grey,5991,85,Automatic,"Alloy wheels,Sport seats",17880
Audi A1,Sedans,White,33306,85,Automatic,"Alloy wheels,Shift paddles,Sport package,Sport seats",17880
Audi A1,Compact,Black,52896,85,Automatic,"Alloy wheels,Voice Control",17850
Audi A1,Sedans,Red,32000,85,Automatic,"Alloy wheels,Sport package,Sport seats,Winter tyres",17750
Audi A1,Sedans,Grey,49198,85,Automatic,"Alloy wheels,Sport seats,Sport suspension",17790
Audi A1,Sedans,White,59000,85,Automatic,"Alloy wheels,Sport seats",17820
Audi A1,Sedans,Beige,10300,85,Automatic,"Alloy wheels,Catalytic Converter,Voice Control",17770
Audi A1,Sedans,Grey,24550,85,Automatic,Alloy wheels,17700
Audi A1,Sedans,Black,26000,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",17700
Audi A1,Compact,Grey,24550,85,Automatic,Alloy wheels,17700
Audi A1,Compact,Silver,7701,85,Automatic,"Alloy wheels,Sport seats",17660
Audi A1,Sedans,Silver,19500,85,Automatic,"Alloy wheels,Sport seats,Voice Control",17650
Audi A1,Sedans,Black,45605,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control",17650
Audi A1,Sedans,Blue,45200,85,Automatic,"Sport seats,Sport suspension",17530
Audi A1,Sedans,Silver,22500,85,Automatic,"Alloy wheels,Roof rack,Sport seats",17500
Audi A1,Compact,Black,44585,85,Automatic,Catalytic Converter,15420
Audi A1,Sedans,White,32750,85,Automatic,"Alloy wheels,Voice Control",15250
Audi A1,Sedans,Black,61980,85,Automatic,Voice Control,15250
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,Black,49600,85,Automatic,"Alloy wheels,Sport package,Sport seats,Voice Control",15200
Audi A1,Compact,Red,76275,85,Automatic,"Alloy wheels,Sport seats",15180
Audi A1,Sedans,Brown,46900,85,Automatic,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension",15380
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,Blue,10000,85,Automatic,"Alloy wheels,Catalytic Converter",14250
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,Blue,49466,85,Automatic,Voice Control,14450
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Compact,Black,48800,85,Automatic,"Alloy wheels,Sport seats",14470
Audi A1,Sedans,Blue,94300,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats,Voice Control",14350
Audi A1,Compact,Silver,18600,85,Automatic,Alloy wheels,14210
Audi A1,Sedans,White,67278,85,Automatic,Alloy wheels,14300
Audi A1,Sedans,Grey,69850,85,Automatic,Voice Control,13892
Audi A1,Compact,White,46000,85,Automatic,"Sport seats,Sport suspension",13990
Audi A1,Sedans,Red,10000,85,Automatic,Alloy wheels,13950
Audi A1,Sedans,Black,108000,85,Automatic,"Alloy wheels,Sport package",13900
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,63668,85,Automatic,"Alloy wheels,Sport package,Sport seats,Sport suspension",15090
Audi A1,Sedans,White,78000,85,Automatic,"Alloy wheels,Voice Control",15000
Audi A1,Compact,Blue,137066,85,Automatic,"Alloy wheels,Sport suspension",14998
Audi A1,Sedans,Grey,34000,85,Automatic,"Alloy wheels,Catalytic Converter,Sport seats",14990
Audi A1,Compact,Black,9600,85,Automatic,Alloy wheels,14990
Audi A1,Compact,Red,88800,85,Automatic,Alloy wheels,13880
Audi A1,Sedans,Grey,59150,85,Automatic,"Alloy wheels,Shift paddles",13500
Audi A1,Sedans,Black,110375,85,Automatic,Alloy wheels,13480
Audi A1,Sedans,Black,26310,85,Automatic,Alloy wheels,13450
Audi A1,Sedans,White,65000,85,Automatic,"Alloy wheels,Voice Control",13250
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Sedans,White,58380,85,Automatic,"Alloy wheels,Voice Control",13599
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
Audi A1,Compact,Black,49351,85,Automatic,"Alloy wheels,Sport seats,Voice Control",14990
