,Game Number," ""Game Length"""
724,725,83
725,726,47
726,727,17
727,728,12
728,729,22
729,730,27
730,731,47
731,732,25
732,733,33
733,734,30
734,735,19
735,736,36
736,737,75
737,738,20
738,739,57
739,740,12
740,741,76
741,742,30
742,743,35
743,744,77
744,745,10
745,746,73
746,747,13
747,748,39
748,749,34
749,750,31
750,751,13
751,752,14
752,753,10
753,754,45
754,755,55
755,756,29
756,757,25
757,758,47
758,759,95
759,760,13
760,761,54
761,762,17
762,763,35
763,764,74
764,765,60
765,766,14
766,767,50
767,768,30
768,769,55
769,770,22
770,771,43
771,772,92
772,773,35
773,774,47
774,775,12
775,776,51
776,777,12
777,778,93
778,779,41
779,780,47
780,781,69
781,782,36
782,783,38
783,784,32
784,785,52
785,786,13
786,787,20
787,788,48
788,789,52
789,790,33
790,791,39
791,792,56
792,793,20
793,794,41
794,795,16
795,796,70
796,797,57
797,798,85
798,799,23
799,800,17
800,801,30
801,802,33
802,803,11
803,804,26
804,805,50
805,806,40
806,807,20
807,808,68
808,809,12
809,810,75
810,811,14
811,812,36
812,813,35
813,814,39
814,815,30
815,816,13
816,817,62
817,818,23
818,819,26
819,820,56
820,821,30
821,822,40
822,823,12
823,824,23
824,825,30
825,826,17
826,827,19
827,828,17
828,829,19
829,830,45
830,831,14
831,832,60
832,833,49
833,834,32
834,835,12
835,836,44
836,837,43
837,838,21
838,839,9
839,840,12
840,841,16
841,842,14
842,843,17
843,844,18
844,845,29
845,846,56
846,847,34
847,848,24
848,849,58
849,850,27
850,851,12
851,852,23
852,853,75
853,854,15
854,855,20
855,856,31
856,857,51
857,858,10
858,859,70
859,860,70
860,861,71
861,862,53
862,863,35
863,864,12
864,865,23
865,866,26
866,867,25
867,868,48
868,869,45
869,870,36
870,871,38
871,872,27
872,873,29
873,874,55
874,875,34
875,876,38
876,877,17
877,878,43
878,879,32
879,880,40
880,881,27
881,882,8
882,883,24
883,884,18
884,885,29
885,886,11
886,887,23
887,888,30
888,889,64
889,890,65
890,891,19
891,892,52
892,893,8
893,894,29
894,895,48
895,896,67
896,897,18
897,898,18
898,899,11
899,900,53
900,901,87
901,902,24
902,903,25
903,904,27
904,905,14
905,906,80
906,907,17
907,908,32
908,909,16
909,910,32
910,911,11
911,912,27
912,913,15
913,914,9
914,915,25
915,916,48
916,917,18
917,918,38
918,919,20
919,920,27
920,921,23
921,922,19
922,923,21
923,924,21
924,925,18
925,926,49
926,927,9
927,928,58
928,929,24
929,930,18
930,931,17
931,932,25
932,933,87
933,934,31
934,935,14
935,936,39
936,937,16
937,938,29
938,939,10
939,940,14
940,941,14
941,942,12
942,943,34
943,944,26
944,945,53
945,946,55
946,947,41
947,948,55
948,949,29
949,950,26
950,951,12
951,952,46
952,953,32
953,954,62
954,955,52
955,956,78
956,957,37
957,958,91
958,959,119
959,960,28
960,961,30
961,962,31
962,963,66
963,964,32
964,965,26
965,966,22
966,967,20
967,968,22
968,969,37
969,970,22
970,971,73
971,972,33
972,973,52
973,974,44
974,975,9
975,976,31
976,977,17
977,978,22
978,979,20
979,980,20
980,981,22
981,982,49
982,983,8
983,984,65
984,985,22
985,986,38
986,987,29
987,988,8
988,989,44
989,990,25
990,991,24
991,992,27
992,993,28
993,994,32
994,995,93
995,996,24
996,997,21
997,998,47
998,999,30
999,1000,12
