,LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State"""
44,37,10,11," ""N""",104,30,36," ""W"""," ""Trinidad""", CO
45,40,13,47," ""N""",74,46,11," ""W"""," ""Trenton""", NJ
46,44,45,35," ""N""",85,37,47," ""W"""," ""Traverse City""", MI
47,43,39,0," ""N""",79,22,47," ""W"""," ""Toronto""", ON
48,39,2,59," ""N""",95,40,11," ""W"""," ""Topeka""", KS
49,41,39,0," ""N""",83,32,24," ""W"""," ""Toledo""", OH
50,33,25,48," ""N""",94,3,0," ""W"""," ""Texarkana""", TX
51,39,28,12," ""N""",87,24,36," ""W"""," ""Terre Haute""", IN
52,27,57,0," ""N""",82,26,59," ""W"""," ""Tampa""", FL
53,30,27,0," ""N""",84,16,47," ""W"""," ""Tallahassee""", FL
54,47,14,24," ""N""",122,25,48," ""W"""," ""Tacoma""", WA
55,43,2,59," ""N""",76,9,0," ""W"""," ""Syracuse""", NY
56,32,35,59," ""N""",82,20,23," ""W"""," ""Swainsboro""", GA
57,33,55,11," ""N""",80,20,59," ""W"""," ""Sumter""", SC
58,40,59,24," ""N""",75,11,24," ""W"""," ""Stroudsburg""", PA
59,37,57,35," ""N""",121,17,24," ""W"""," ""Stockton""", CA
60,44,31,12," ""N""",89,34,11," ""W"""," ""Stevens Point""", WI
61,40,21,36," ""N""",80,37,12," ""W"""," ""Steubenville""", OH
62,40,37,11," ""N""",103,13,12," ""W"""," ""Sterling""", CO
63,38,9,0," ""N""",79,4,11," ""W"""," ""Staunton""", VA
64,39,55,11," ""N""",83,48,35," ""W"""," ""Springfield""", OH
65,37,13,12," ""N""",93,17,24," ""W"""," ""Springfield""", MO
66,42,5,59," ""N""",72,35,23," ""W"""," ""Springfield""", MA
67,39,47,59," ""N""",89,39,0," ""W"""," ""Springfield""", IL
68,47,40,11," ""N""",117,24,36," ""W"""," ""Spokane""", WA
69,41,40,48," ""N""",86,15,0," ""W"""," ""South Bend""", IN
70,43,32,24," ""N""",96,43,48," ""W"""," ""Sioux Falls""", SD
71,42,29,24," ""N""",96,23,23," ""W"""," ""Sioux City""", IA
72,32,30,35," ""N""",93,45,0," ""W"""," ""Shreveport""", LA
73,33,38,23," ""N""",96,36,36," ""W"""," ""Sherman""", TX
74,44,47,59," ""N""",106,57,35," ""W"""," ""Sheridan""", WY
75,35,13,47," ""N""",96,40,48," ""W"""," ""Seminole""", OK
76,32,25,11," ""N""",87,1,11," ""W"""," ""Selma""", AL
77,38,42,35," ""N""",93,13,48," ""W"""," ""Sedalia""", MO
78,47,35,59," ""N""",122,19,48," ""W"""," ""Seattle""", WA
79,41,24,35," ""N""",75,40,11," ""W"""," ""Scranton""", PA
80,41,52,11," ""N""",103,39,36," ""W"""," ""Scottsbluff""", NB
81,42,49,11," ""N""",73,56,59," ""W"""," ""Schenectady""", NY
82,32,4,48," ""N""",81,5,23," ""W"""," ""Savannah""", GA
83,46,29,24," ""N""",84,20,59," ""W"""," ""Sault Sainte Marie""", MI
84,27,20,24," ""N""",82,31,47," ""W"""," ""Sarasota""", FL
85,38,26,23," ""N""",122,43,12," ""W"""," ""Santa Rosa""", CA
86,35,40,48," ""N""",105,56,59," ""W"""," ""Santa Fe""", NM
87,34,25,11," ""N""",119,41,59," ""W"""," ""Santa Barbara""", CA
88,33,45,35," ""N""",117,52,12," ""W"""," ""Santa Ana""", CA
89,37,20,24," ""N""",121,52,47," ""W"""," ""San Jose""", CA
90,37,46,47," ""N""",122,25,11," ""W"""," ""San Francisco""", CA
91,41,27,0," ""N""",82,42,35," ""W"""," ""Sandusky""", OH
92,32,42,35," ""N""",117,9,0," ""W"""," ""San Diego""", CA
93,34,6,36," ""N""",117,18,35," ""W"""," ""San Bernardino""", CA
94,29,25,12," ""N""",98,30,0," ""W"""," ""San Antonio""", TX
95,31,27,35," ""N""",100,26,24," ""W"""," ""San Angelo""", TX
96,40,45,35," ""N""",111,52,47," ""W"""," ""Salt Lake City""", UT
97,38,22,11," ""N""",75,35,59," ""W"""," ""Salisbury""", MD
98,36,40,11," ""N""",121,39,0," ""W"""," ""Salinas""", CA
99,38,50,24," ""N""",97,36,36," ""W"""," ""Salina""", KS
100,38,31,47," ""N""",106,0,0," ""W"""," ""Salida""", CO
101,44,56,23," ""N""",123,1,47," ""W"""," ""Salem""", OR
102,44,57,0," ""N""",93,5,59," ""W"""," ""Saint Paul""", MN
103,38,37,11," ""N""",90,11,24," ""W"""," ""Saint Louis""", MO
104,39,46,12," ""N""",94,50,23," ""W"""," ""Saint Joseph""", MO
105,42,5,59," ""N""",86,28,48," ""W"""," ""Saint Joseph""", MI
106,44,25,11," ""N""",72,1,11," ""W"""," ""Saint Johnsbury""", VT
107,45,34,11," ""N""",94,10,11," ""W"""," ""Saint Cloud""", MN
108,29,53,23," ""N""",81,19,11," ""W"""," ""Saint Augustine""", FL
109,43,25,48," ""N""",83,56,24," ""W"""," ""Saginaw""", MI
110,38,35,24," ""N""",121,29,23," ""W"""," ""Sacramento""", CA
111,43,36,36," ""N""",72,58,12," ""W"""," ""Rutland""", VT
112,33,24,0," ""N""",104,31,47," ""W"""," ""Roswell""", NM
113,35,56,23," ""N""",77,48,0," ""W"""," ""Rocky Mount""", NC
114,41,35,24," ""N""",109,13,48," ""W"""," ""Rock Springs""", WY
115,42,16,12," ""N""",89,5,59," ""W"""," ""Rockford""", IL
116,43,9,35," ""N""",77,36,36," ""W"""," ""Rochester""", NY
117,44,1,12," ""N""",92,27,35," ""W"""," ""Rochester""", MN
118,37,16,12," ""N""",79,56,24," ""W"""," ""Roanoke""", VA
119,37,32,24," ""N""",77,26,59," ""W"""," ""Richmond""", VA
120,39,49,48," ""N""",84,53,23," ""W"""," ""Richmond""", IN
121,38,46,12," ""N""",112,5,23," ""W"""," ""Richfield""", UT
122,45,38,23," ""N""",89,25,11," ""W"""," ""Rhinelander""", WI
123,39,31,12," ""N""",119,48,35," ""W"""," ""Reno""", NV
124,50,25,11," ""N""",104,39,0," ""W"""," ""Regina""", SA
125,40,10,48," ""N""",122,14,23," ""W"""," ""Red Bluff""", CA
126,40,19,48," ""N""",75,55,48," ""W"""," ""Reading""", PA
127,41,9,35," ""N""",81,14,23," ""W"""," ""Ravenna""", OH 
