,Roll Kalman (deg),Pitch Kalman (deg),Temperature (C),Altitute (m),Time (s),Gear,Latitude,Longitude,Speed (mps),Time (HHMMSSCC)
27,-0.14,3.2,18.2,10.25,673.2,0,50.953891,-1.363687,17.77,17043600.0
28,4.4,-3.95,18.2,11.33,674.21,0,50.953891,-1.363687,17.77,17043600.0
29,1.49,-15.23,18.2,12.48,675.22,0,50.954593,-1.3632520000000001,16.97,17044100.0
30,-9.37,-10.57,18.1,14.13,676.23,0,50.954593,-1.3632520000000001,16.97,17044100.0
31,-8.66,-10.24,18.1,15.62,677.24,0,50.954593,-1.3632520000000001,16.97,17044100.0
32,-10.41,2.74,18.1,16.03,678.25,0,50.954593,-1.3632520000000001,16.97,17044100.0
33,-9.98,-2.88,18.1,13.3,679.26,0,50.954593,-1.3632520000000001,16.97,17044100.0
34,8.97,-9.32,18.1,10.67,680.27,0,50.954311,-1.362525,14.85,17044600.0
35,-10.55,-36.23,18.1,9.6,681.28,0,50.954311,-1.362525,14.85,17044600.0
36,-22.66,-9.13,18,9.02,682.29,0,50.954311,-1.362525,14.85,17044600.0
37,-7.25,1.58,18,8.77,683.3,0,50.954311,-1.362525,14.85,17044600.0
38,-0.05,15.42,18,9.43,684.4,0,50.954311,-1.362525,14.85,17044600.0
39,4.53,-8.41,18,11,685.5,0,50.954311,-1.362525,14.85,17044600.0
40,2.76,-1.26,18,12.89,686.51,0,50.954311,-1.362525,14.85,17044600.0
41,0.11,-6.27,17.9,13.72,687.61,0,50.953765000000004,-1.363687,14.85,17045400.0
42,-6.36,-12.1,17.9,13.22,688.71,0,50.95391,-1.363745,14.85,17045500.0
43,-8.53,-18.56,17.9,13.14,689.8,0,50.954071,-1.363673,17.96,17045600.0
44,-6.78,-0.52,18,14.79,690.9,0,50.9542,-1.36351,17.89,17045700.0
45,4.28,-11.83,17.9,16.19,692,0,50.954265,-1.3633030000000002,16.24,17045800.0
46,-3.75,-3.06,18,17.84,693.1,0,50.954242,-1.363098,14.81,17045900.0
47,-12.54,-25.38,17.9,18.01,694.11,0,50.954153999999996,-1.36296,14.12,17050000.0
48,-6.25,-5.82,17.9,17.51,695.12,0,50.954036,-1.3629,14.31,17050100.0
49,0.61,18.04,17.9,17.43,696.13,0,50.954036,-1.3629,14.31,17050100.0
50,-21.42,-26.27,17.9,16.19,697.14,0,50.953788,-1.362895,13.36,17050300.0
51,-12.93,21.51,17.8,12.65,698.15,0,50.953788,-1.362895,13.36,17050300.0
52,-21.38,6.39,17.9,11,699.16,0,50.953788,-1.362895,13.36,17050300.0
53,20.67,-3.59,17.8,10.5,700.17,0,50.953468,-1.363058,12.48,17050600.0
54,8.83,-28.36,17.9,8.85,701.18,0,50.953468,-1.363058,12.48,17050600.0
55,-16.86,3.14,17.8,8.6,702.2,0,50.953468,-1.363058,12.48,17050600.0
56,6.14,7.58,17.8,6.46,703.21,0,50.953468,-1.363058,12.48,17050600.0
57,15.39,-11.18,17.9,6.21,704.22,0,50.953468,-1.363058,12.48,17050600.0
58,-5.77,-24.1,17.9,5.55,705.23,0,50.953567,-1.3638569999999999,16.85,17051100.0
59,-23.83,-12.97,17.8,5.97,706.24,0,50.953567,-1.3638569999999999,16.85,17051100.0
60,-10.28,9.44,17.8,5.55,707.25,0,50.953567,-1.3638569999999999,16.85,17051100.0
61,-6.46,8.06,17.8,5.39,708.26,0,50.953567,-1.3638569999999999,16.85,17051100.0
62,0.6,7.4,17.8,6.38,709.36,0,50.953567,-1.3638569999999999,16.85,17051100.0
63,2.22,-9.82,17.8,8.27,710.46,0,50.953567,-1.3638569999999999,16.85,17051100.0
64,-6.61,-12.4,17.8,9.1,711.47,0,50.953567,-1.3638569999999999,16.85,17051100.0
65,-9.91,-15.21,17.8,8.44,712.56,0,50.953567,-1.3638569999999999,16.85,17051100.0
66,-18.94,8.69,17.8,8.27,713.66,0,50.953845,-1.362747,16.85,17052000.0
67,-2.74,19.7,17.8,5.31,714.76,0,50.953727,-1.3627280000000002,13.76,17052100.0
68,-1.37,1.57,17.8,5.55,715.86,0,50.953609,-1.36274,14.04,17052200.0
69,4.98,-9.56,17.7,6.38,716.96,0,50.953502,-1.362848,14.83,17052300.0
70,-3.99,-9.27,17.7,7.95,718.06,0,50.953445,-1.3630280000000001,14.45,17052400.0
71,-16.29,-6.6,17.7,9.76,719.07,0,50.953441,-1.363228,14.41,17052500.0
72,-5.79,6.99,17.7,11.9,720.08,0,50.953483,-1.363413,13.48,17052600.0
73,-14.78,-22.35,17.7,11.08,721.09,0,50.953552,-1.3635629999999999,13.11,17052700.0
74,-3.65,-22.54,17.7,9.26,722.1,0,50.953552,-1.3635629999999999,13.11,17052700.0
75,-8.59,-15.17,17.7,8.27,723.11,0,50.953807,-1.36366,17.36,17052900.0
76,-15.8,6.9,17.7,8.69,724.12,0,50.953959999999995,-1.36362,17.5,17053000.0
77,-2.91,-6.16,17.7,7.86,725.13,0,50.954113,-1.36355,17.3,17053100.0
78,-12.19,-9.74,17.7,8.19,726.14,0,50.954113,-1.36355,17.3,17053100.0
79,-20.25,-18.67,17.7,10.83,727.15,0,50.954113,-1.36355,17.3,17053100.0
80,-6.07,34.5,17.8,13.14,728.16,0,50.954113,-1.36355,17.3,17053100.0
81,-3.27,-23.85,17.8,12.15,729.17,0,50.954113,-1.36355,17.3,17053100.0
82,-13.31,-20.92,17.8,11.33,730.18,0,50.954196,-1.3628200000000001,13.28,17053600.0
83,-24.35,5.1,17.8,12.56,731.19,0,50.954196,-1.3628200000000001,13.28,17053600.0
84,-9.67,8.77,17.8,11.74,732.21,0,50.954196,-1.3628200000000001,13.28,17053600.0
85,-0.65,5.28,17.8,13.88,733.22,0,50.954196,-1.3628200000000001,13.28,17053600.0
86,-6.88,-0.77,17.8,14.96,734.23,0,50.954196,-1.3628200000000001,13.28,17053600.0
87,-12.14,11.28,17.8,15.29,735.24,0,50.953563,-1.362937,13.58,17054100.0
88,2.54,14.33,17.8,14.87,736.25,0,50.953563,-1.362937,13.58,17054100.0
89,-4.32,-20.29,17.7,14.71,737.26,0,50.953563,-1.362937,13.58,17054100.0
90,-4.8,-11.29,17.7,15.29,738.27,0,50.953563,-1.362937,13.58,17054100.0
91,-11.93,-5.98,17.7,14.96,739.36,0,50.953563,-1.362937,13.58,17054100.0
92,14.96,-22.26,17.7,14.71,740.46,0,50.953563,-1.362937,13.58,17054100.0
93,-6.3,-31.09,17.7,14.63,741.56,0,50.953563,-1.362937,13.58,17054100.0
94,-22.32,13.07,17.7,17.18,742.66,0,50.953994,-1.363888,13.58,17054900.0
95,-1.6,7.95,17.7,17.68,743.76,0,50.954153999999996,-1.363868,18.58,17055000.0
96,-10.39,-7.71,17.7,19.17,744.86,0,50.954299,-1.3638,18.58,17055100.0
97,-16.46,15.54,17.7,21.48,745.96,0,50.954418,-1.363668,16.06,17055200.0
98,7.58,-27.02,17.7,20.65,747.05,0,50.954498,-1.3634819999999999,15.86,17055300.0
99,-27.52,1.72,17.7,20.32,748.07,0,50.954513,-1.363272,14.76,17055400.0
100,-26.79,29.56,17.8,21.23,749.08,0,50.954479,-1.3630870000000002,12.84,17055500.0
101,-15.72,1.05,17.8,22.22,750.09,0,50.954418,-1.362968,9.88,17055600.0
102,4.21,-43.63,17.8,21.64,751.1,0,50.954341,-1.362945,9.28,17055700.0
103,-10.68,24.88,17.8,22.22,752.11,1,50.954341,-1.362945,9.28,17055700.0
104,3,28.83,17.8,18.59,753.12,0,50.954341,-1.362945,9.28,17055700.0
105,10.2,-33.45,17.7,12.65,754.13,0,50.954341,-1.362945,9.28,17055700.0
106,-15.14,-21.17,17.8,8.03,755.14,0,50.954055,-1.363433,17.2,17060100.0
107,-3.89,9.75,17.7,4.56,756.15,0,50.954055,-1.363433,17.2,17060100.0
108,-4.5,12.97,17.7,6.87,757.16,0,50.954055,-1.363433,17.2,17060100.0
109,-11.44,14.2,17.7,9.84,758.17,0,50.954055,-1.363433,17.2,17060100.0
110,-20.03,-11.76,17.7,11.9,759.18,0,50.954055,-1.363433,17.2,17060100.0
111,2.06,-2.18,17.7,14.87,760.19,0,50.953506,-1.363705,11.98,17060600.0
112,-7.36,-26.49,17.7,16.36,761.2,0,50.953506,-1.363705,11.98,17060600.0
113,-23.4,-17.62,17.7,16.36,762.21,0,50.953506,-1.363705,11.98,17060600.0
114,-21.43,29.99,17.7,13.06,763.22,0,50.953506,-1.363705,11.98,17060600.0
115,-24.74,-1.87,17.7,10.5,764.23,0,50.953506,-1.363705,11.98,17060600.0
116,-36.43,17.31,17.7,9.93,765.24,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
117,-25.01,11.9,17.7,10.91,766.26,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
118,0.77,-21.25,17.7,12.07,767.27,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
119,2.8,-6.85,17.7,12.32,768.28,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
120,-11.92,17.43,17.7,10.91,769.38,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
121,-14.51,-20.49,17.7,9.93,770.47,0,50.953635999999996,-1.3628870000000002,18.58,17061100.0
122,-8.86,-8.1,17.7,10.17,771.48,0,50.954471000000005,-1.36267,18.58,17061700.0
123,7.86,-2.5,17.8,10.34,772.58,0,50.95462,-1.363082,18.58,17061900.0
124,-5.16,21.84,17.7,13.39,773.68,0,50.95462,-1.363283,18.58,17062000.0
125,-3.62,9.49,17.7,16.19,774.78,0,50.954570000000004,-1.363433,13.08,17062100.0
126,-18.58,-11.18,17.7,18.59,775.88,0,50.954502000000005,-1.3635329999999999,9.89,17062200.0
127,-19.27,-19.47,17.8,20.65,776.98,0,50.954425,-1.3635950000000001,9.53,17062300.0
128,-4.66,1.06,17.8,21.56,777.99,0,50.954338,-1.363613,9.79,17062400.0
129,-14.39,-16.38,17.8,19.74,779.08,0,50.95425,-1.363608,9.65,17062500.0
130,-5.6,7.98,17.8,16.85,780.09,0,50.954158,-1.3635979999999999,11.16,17062600.0
131,-15.67,-7.2,17.8,11.66,781.11,0,50.954158,-1.3635979999999999,11.16,17062600.0
132,-2.49,8.74,17.7,12.81,782.12,0,50.954158,-1.3635979999999999,11.16,17062600.0
133,-28.77,-8.26,17.8,11.49,783.13,0,50.954158,-1.3635979999999999,11.16,17062600.0
134,-0.92,-38.94,17.7,8.69,784.14,0,50.954158,-1.3635979999999999,11.16,17062600.0
135,10.41,-0.03,17.7,4.56,785.15,0,50.953586,-1.363407,14.37,17063100.0
136,-3.36,-20.09,17.7,7.12,786.16,0,50.953586,-1.363407,14.37,17063100.0
137,-31.36,-13.98,17.7,11.33,787.17,0,50.953586,-1.363407,14.37,17063100.0
138,-20.81,34.04,17.7,11.49,788.18,0,50.953586,-1.363407,14.37,17063100.0
139,-29.62,10,17.8,11.82,789.19,0,50.953586,-1.363407,14.37,17063100.0
140,-7.49,-0.84,17.8,12.89,790.2,0,50.953239,-1.362883,11.82,17063600.0
141,-6.18,-11.53,17.8,12.89,791.21,0,50.953239,-1.362883,11.82,17063600.0
142,-23.31,-2.92,17.8,10.67,792.22,0,50.953239,-1.362883,11.82,17063600.0
143,-21.37,33.69,17.8,9.84,793.32,0,50.953239,-1.362883,11.82,17063600.0
144,-30.07,-10.24,17.8,11.41,794.42,0,50.953239,-1.362883,11.82,17063600.0
145,-23.29,13.34,17.8,9.68,795.52,0,50.953239,-1.362883,11.82,17063600.0
146,0.04,-16.49,17.8,5.89,796.61,0,50.953941,-1.36274,11.82,17064300.0
147,2.17,-13.04,17.8,3.58,797.71,0,50.95409,-1.36283,17.97,17064400.0
148,-3.18,8.19,17.8,4.24,798.81,0,50.954223,-1.362935,15.79,17064500.0
149,-3.79,-1.52,17.8,4.56,799.91,0,50.954322,-1.363082,14.02,17064600.0
150,-18.82,2.57,17.9,6.79,801.01,0,50.954376,-1.36324,10.96,17064700.0
151,-10.85,0.93,17.9,8.11,802.02,0,50.954383,-1.363377,8.63,17064800.0
152,-16.15,-29.22,17.9,9.18,803.03,0,50.954353000000005,-1.363478,7.48,17064900.0
153,-8.71,-0.92,17.9,9.6,804.04,0,50.954299,-1.363538,7.1,17065000.0
154,5.89,20.63,17.9,6.96,805.05,0,50.954235,-1.363548,7.95,17065100.0
155,-0.64,19.98,17.9,5.72,806.06,0,50.95417,-1.363502,9.18,17065200.0
156,4.38,-5.25,17.9,4.4,807.07,0,50.954097,-1.363413,10.76,17065300.0
157,48.02,26.11,18,3.58,808.08,0,50.954021000000004,-1.363308,11.96,17065400.0
158,49.25,15.19,18,1.85,809.09,0,50.953941,-1.36319,11.98,17065500.0
159,-0.16,1.49,18,0.36,810.1,0,50.953865,-1.363077,11.33,17065600.0
160,-6.05,2.14,18,-0.05,811.11,0,50.953865,-1.363077,11.33,17065600.0
161,-40.87,1.23,18,-0.63,812.13,0,50.953865,-1.363077,11.33,17065600.0
162,-41.47,39.31,18,-0.46,813.14,0,50.953865,-1.363077,11.33,17065600.0
163,-11.6,20.47,18.1,-0.54,814.15,0,50.953865,-1.363077,11.33,17065600.0
164,0.65,1.28,18.1,-0.96,815.16,0,50.953639,-1.362808,0.02,17070100.0
165,3.22,-3.2,18.1,-0.05,816.17,0,50.953639,-1.362808,0.02,17070100.0
166,2.57,-2.12,18.1,-1.04,817.18,0,50.953639,-1.362808,0.02,17070100.0
167,1.27,-0.37,18.1,-0.54,818.19,0,50.953639,-1.362808,0.02,17070100.0
168,0.6,0.97,18.1,-0.63,819.29,0,50.953639,-1.362808,0.02,17070100.0
169,0.39,1.35,18.1,-0.05,820.39,0,50.953639,-1.362808,0.02,17070100.0
170,0.32,1.33,18.1,-0.13,821.48,0,50.953639,-1.362808,0.02,17070800.0
171,0.29,1.41,18.1,-0.54,822.58,0,50.953639,-1.3628069999999999,0.02,17070900.0
