"Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Boys",1991,11,137.970915485683,137.660112118076,138.285935504994,0.15897915445162
"Boys",1991,12,143.772497902272,143.466426109285,144.087387456198,0.158516183882949
"Boys",1991,13,150.528582210538,150.217177930659,150.841035885763,0.158153204718318
"Boys",1991,14,156.886291802313,156.575657754088,157.203098544308,0.160340997248008
"Boys",1991,15,161.769359824093,161.469887509201,162.07816516549,0.155540478471914
"Boys",1991,16,164.680164550647,164.372920706942,164.99792691096,0.159238412499945
"Boys",1991,17,166.467421789992,166.153118458137,166.794612656494,0.163354150812005
"Boys",1991,18,167.565514081972,167.240126062387,167.895246930553,0.168135429877197
"Boys",1991,19,168.440021923282,168.113197906043,168.773980333907,0.168989160243696
"Boys",1992,5,106.125265768141,105.652435585812,106.633437865801,0.250870187913488
"Boys",1992,6,112.076402625213,111.661727716549,112.512381287283,0.216289053243241
"Boys",1992,7,117.598186878492,117.222466461442,117.978656505721,0.19557552886025
"Boys",1992,8,122.817091267873,122.467830299719,123.167080263992,0.179961545615544
"Boys",1992,9,127.848436960824,127.511614799617,128.172062617945,0.170606469974156
"Boys",1992,10,132.926128436358,132.605667423515,133.23852773601,0.160624341892632
"Boys",1992,11,138.023262303699,137.718431041966,138.327779825257,0.156010703897594
"Boys",1992,12,143.819711820561,143.518935318214,144.127215594594,0.155615602550473
"Boys",1992,13,150.56383649473,150.26672434943,150.869017575396,0.154262188770932
"Boys",1992,14,156.909210144906,156.604184276656,157.218180147364,0.156477314549784
"Boys",1992,15,161.766378481889,161.474316334067,162.064302652737,0.149843537930465
"Boys",1992,16,164.692859868613,164.399309712554,164.996460839138,0.15281433485505
"Boys",1992,17,166.509695826046,166.211148373014,166.821226253133,0.155226985053087
"Boys",1992,18,167.642269724819,167.34217781756,167.959603287277,0.158896971355342
"Boys",1992,19,168.53265290471,168.22543270536,168.846991359407,0.158988394628027
"Boys",1993,5,106.243130071107,105.770215123427,106.748120346273,0.249189636513804
"Boys",1993,6,112.176688264257,111.764006542478,112.608470918854,0.215138754003097
"Boys",1993,7,117.684537204613,117.310097888631,118.059988713562,0.193950946456854
"Boys",1993,8,122.888457053537,122.543934609755,123.229779262905,0.178079767842581
"Boys",1993,9,127.914894517734,127.583902568424,128.233834966087,0.167997505133034
"Boys",1993,10,132.982381734208,132.665729828402,133.28369294261,0.157868152315995
"Boys",1993,11,138.083105005431,137.783728392372,138.377855140858,0.15281927269254
"Boys",1993,12,143.879511655516,143.580128306596,144.178589956144,0.152705055697057
"Boys",1993,13,150.619568051451,150.325418904971,150.91903906461,0.151114602879461
"Boys",1993,14,156.953660475141,156.655700318668,157.255348537739,0.152421176129654
"Boys",1993,15,161.763377468051,161.482100945426,162.048745242844,0.145707113029256
"Boys",1993,16,164.694897023218,164.413135425842,164.988411168717,0.146952779681255
"Boys",1993,17,166.532018243152,166.248463938501,166.830157491134,0.148519713424982
"Boys",1993,18,167.692946498077,167.40419085114,167.997392133304,0.150841896641728
"Boys",1993,19,168.608854677379,168.31664278097,168.906074585326,0.150244069416589
"Boys",1994,5,106.374297699216,105.903905101205,106.883754041693,0.247813470260662
"Boys",1994,6,112.293626858658,111.882517359253,112.722021181435,0.213419422899354
"Boys",1994,7,117.784272002482,117.405247288267,118.157991094042,0.193037077965926
"Boys",1994,8,122.974347375589,122.628296129726,123.309674889367,0.176736397631434
"Boys",1994,9,127.985616655942,127.65925665552,128.300782031649,0.166203588418946
"Boys",1994,10,133.040771311203,132.731098300618,133.339085701778,0.155493407818898
"Boys",1994,11,138.1450213638,137.848086515491,138.435673659326,0.149900112663743
"Boys",1994,12,143.945751779782,143.653358371763,144.24128186169,0.149408007542918
"Boys",1994,13,150.686265605729,150.399668405924,150.976797585321,0.147948356970752
"Boys",1994,14,157.016322693784,156.725838601304,157.30997038808,0.148981545105649
"Boys",1994,15,161.772572280956,161.497931928761,162.054066350781,0.14162241714391
"Boys",1994,16,164.702308637491,164.427971628974,164.985878737726,0.142682419751628
"Boys",1994,17,166.547013489999,166.277626918484,166.832362383437,0.142462007496204
"Boys",1994,18,167.724895518696,167.447327938605,168.007698200605,0.144177871731424
"Boys",1994,19,168.659782388,168.379120989629,168.944410353958,0.142662065506737
"Boys",1995,5,106.509620149202,106.040861047924,107.026787875772,0.246694432317627
"Boys",1995,6,112.420118431294,112.014626559808,112.850971591734,0.212142731586309
"Boys",1995,7,117.896714372424,117.524647473693,118.271127533758,0.191625017278629
"Boys",1995,8,123.069396732255,122.719559895789,123.410442143969,0.176129419738926
"Boys",1995,9,128.066334761943,127.74145852679,128.378653332893,0.165141683494818
"Boys",1995,10,133.108710790852,132.801347889497,133.401739655972,0.153563758640529
"Boys",1995,11,138.208079628349,137.914075946262,138.493354556231,0.147134690568754
"Boys",1995,12,144.012652279565,143.727780868208,144.301293325436,0.146428406398111
"Boys",1995,13,150.757555973916,150.475133466294,151.042825215645,0.144339273621504
"Boys",1995,14,157.087639304491,156.802757576269,157.375195772778,0.145588507952162
"Boys",1995,15,161.798973430537,161.525618432884,162.075329193589,0.138167672185735
"Boys",1995,16,164.726426331655,164.457270464258,165.005304068616,0.138667684725628
"Boys",1995,17,166.569703723754,166.306783379931,166.845474089913,0.1381013213418
"Boys",1995,18,167.750763290016,167.491497979792,168.031473962906,0.138218046738986
"Boys",1995,19,168.693869766597,168.427308410868,168.961664177161,0.136331124256847
"Boys",1996,5,106.632738529315,106.15958018717,107.149683636909,0.246068818846313
"Boys",1996,6,112.547317541182,112.139240371655,112.973835611025,0.211147568107725
"Boys",1996,7,118.014906928203,117.643872816926,118.396997726515,0.190572850974139
"Boys",1996,8,123.173050054461,122.82663088684,123.511652708747,0.175077851739847
"Boys",1996,9,128.151830916863,127.823561155349,128.464832907074,0.164796691377752
"Boys",1996,10,133.19699984326,132.892578423255,133.484277664235,0.151968550001504
"Boys",1996,11,138.282238198049,137.993050441274,138.561195006638,0.144797090219453
"Boys",1996,12,144.082097204741,143.797861746986,144.361230344642,0.143391750142468
"Boys",1996,13,150.830585641054,150.551608965998,151.108769235378,0.141077442515098
"Boys",1996,14,157.164289436908,156.885589018057,157.449431833235,0.141790750263186
"Boys",1996,15,161.839660712683,161.575916463581,162.108135324587,0.135000104260718
"Boys",1996,16,164.769391060628,164.506446396466,165.036494854753,0.135174052332399
"Boys",1996,17,166.609327639051,166.353809099833,166.875057048378,0.134053113261136
"Boys",1996,18,167.784691840954,167.529004002332,168.053454875247,0.133998984779605
"Boys",1996,19,168.724315961411,168.469812739154,168.98266277759,0.130889922198263
"Boys",1997,5,106.741844974893,106.275330780012,107.254905149122,0.246218962576621
"Boys",1997,6,112.660249466201,112.246791228498,113.088845895439,0.210735301827815
"Boys",1997,7,118.131492285955,117.760226487482,118.508623119519,0.189728335292816
"Boys",1997,8,123.279875689243,122.938011366877,123.619298764705,0.174188337184891
"Boys",1997,9,128.243162620213,127.916453651819,128.555204603701,0.164103174873435
"Boys",1997,10,133.304879063088,133.005338984565,133.589871951365,0.150630615129433
"Boys",1997,11,138.377595236659,138.095730580322,138.652562636083,0.142992331130838
"Boys",1997,12,144.163238099223,143.883392785047,144.438263497062,0.140901662717698
"Boys",1997,13,150.906452058929,150.633477386344,151.174524697111,0.137832427573073
"Boys",1997,14,157.242533281843,156.970932897729,157.516491806464,0.138365136864009
"Boys",1997,15,161.890878223714,161.632906275705,162.15192727586,0.131540055749644
"Boys",1997,16,164.824725575046,164.570656460826,165.084945935512,0.13202857028873
"Boys",1997,17,166.665579433814,166.411921293472,166.926390801558,0.130415715490296
"Boys",1997,18,167.834270455381,167.584447836013,168.093406953157,0.130174394269111
"Boys",1997,19,168.764029766883,168.518256869578,169.018281444888,0.127186567302881
"Boys",1998,5,106.828839091923,106.360085169455,107.336972194087,0.247709048502177
"Boys",1998,6,112.758534616881,112.349352569259,113.189434446396,0.211101844174756
"Boys",1998,7,118.232820711417,117.86396226561,118.609895640448,0.189417841807437
"Boys",1998,8,123.384071582372,123.042266973976,123.728114100193,0.173450380582059
"Boys",1998,9,128.336620474462,128.01474508758,128.648132423375,0.163366266597897
"Boys",1998,10,133.431623257891,133.134862821821,133.713343110633,0.148808214035546
"Boys",1998,11,138.488448116181,138.209436784192,138.758865170326,0.141771641427993
"Boys",1998,12,144.261079606864,143.988954430259,144.529580908477,0.139169521464549
"Boys",1998,13,150.989086353358,150.720804166091,151.256261086576,0.135446320887379
"Boys",1998,14,157.318520473686,157.051602347646,157.585224554185,0.135134932217082
"Boys",1998,15,161.948443764472,161.697941991653,162.202663510167,0.128344605554515
"Boys",1998,16,164.887982906192,164.640209295623,165.140945371577,0.128596332232628
"Boys",1998,17,166.731223348249,166.485621995018,166.984652262183,0.127088262399137
"Boys",1998,18,167.898569386129,167.651976326399,168.154543312804,0.126760167629788
"Boys",1998,19,168.819771449962,168.581941180175,169.068400824353,0.124363263483411
"Boys",1999,5,106.889922290102,106.410791606724,107.408889926861,0.249890054958654
"Boys",1999,6,112.83649560496,112.420014553831,113.270627677595,0.212632222969847
"Boys",1999,7,118.321092651211,117.95282884067,118.700988726055,0.189713675607962
"Boys",1999,8,123.474458337209,123.130783572886,123.814055607957,0.173099630173227
"Boys",1999,9,128.429172856609,128.10578385181,128.746123270305,0.162701441498498
"Boys",1999,10,133.567471694171,133.276755239683,133.845276454724,0.146802008831552
"Boys",1999,11,138.611006395313,138.336063084622,138.878819473815,0.140380559957862
"Boys",1999,12,144.366907031586,144.095709201706,144.631687354063,0.138223951163358
"Boys",1999,13,151.08082006599,150.818853828567,151.345412576747,0.134012014492341
"Boys",1999,14,157.393866619864,157.129839079156,157.660584830382,0.132996134022729
"Boys",1999,15,162.010691347379,161.764776385318,162.257966701271,0.125193893606185
"Boys",1999,16,164.953368353977,164.710800707827,165.19918926,0.125389474649648
"Boys",1999,17,166.80061037775,166.56268544786,167.044390068232,0.123368995237849
"Boys",1999,18,167.969312265781,167.728831416326,168.216772907546,0.12361345352206
"Boys",1999,19,168.889571733657,168.655983279132,169.133547699419,0.122174734250328
"Boys",2000,5,106.942021997908,106.461805442458,107.467914797762,0.252462776819452
"Boys",2000,6,112.891422763227,112.483156852381,113.329994320559,0.214571282048537
"Boys",2000,7,118.391654000052,118.02129769757,118.774145538756,0.190945401883647
"Boys",2000,8,123.554469721342,123.214108793952,123.897251352766,0.173193876802657
"Boys",2000,9,128.510614211333,128.185599330688,128.826747958281,0.162286743540038
"Boys",2000,10,133.701121903676,133.413366157952,133.979847407751,0.144971207720802
"Boys",2000,11,138.735652973604,138.461933499413,139.001908003943,0.138815482345602
"Boys",2000,12,144.477344543846,144.207773167115,144.739111734799,0.137205555171826
"Boys",2000,13,151.173662835062,150.913197996048,151.433339687449,0.133277792447234
"Boys",2000,14,157.472080654087,157.211583964983,157.733898445808,0.131834225409187
"Boys",2000,15,162.084040214701,161.842447468091,162.327497773755,0.122942371147616
"Boys",2000,16,165.019719601605,164.779355101236,165.258974135117,0.12221464132372
"Boys",2000,17,166.868551266581,166.636574784315,167.10426726357,0.119954724781948
"Boys",2000,18,168.041313684451,167.808801865535,168.277814944275,0.120016014850637
"Boys",2000,19,168.965130682797,168.738579183586,169.205738335374,0.120365386682374
"Boys",2001,5,107.002089923303,106.520216868782,107.541549229137,0.255754740705986
"Boys",2001,6,112.938618883474,112.522304447051,113.378280408788,0.216818568821301
"Boys",2001,7,118.440122057743,118.066766105355,118.824552140918,0.192544551926372
"Boys",2001,8,123.617615855946,123.272788407034,123.960825881874,0.174137140242946
"Boys",2001,9,128.582641220886,128.260351742092,128.899480757282,0.162265112817479
"Boys",2001,10,133.815195893932,133.530635487635,134.096854981318,0.143521799574166
"Boys",2001,11,138.85235471741,138.580526024983,139.11675508689,0.13737383849307
"Boys",2001,12,144.584138249513,144.317912591492,144.842452790184,0.136044142403536
"Boys",2001,13,151.265762521362,151.002840462426,151.525050547144,0.132381111368273
"Boys",2001,14,157.54681239652,157.288190761171,157.803983115683,0.13120865984271
"Boys",2001,15,162.179338340516,161.939882965258,162.41737027073,0.121389856627648
"Boys",2001,16,165.096965161719,164.862988445738,165.335585240679,0.119825102702921
"Boys",2001,17,166.936834829706,166.710237187698,167.168314429423,0.116806697342349
"Boys",2001,18,168.111556579388,167.885724799662,168.339153849324,0.116718903741722
"Boys",2001,19,169.042985594921,168.816624804738,169.281468692057,0.118436665991103
"Boys",2002,5,107.106139163478,106.621904775858,107.642274496539,0.258496950377781
"Boys",2002,6,112.994243392395,112.574260633164,113.436160956271,0.219993645059789
"Boys",2002,7,118.48139144045,118.104252271965,118.861923163808,0.194392456105283
"Boys",2002,8,123.65895627524,123.311389868844,124.007388752847,0.175502465789596
"Boys",2002,9,128.637988529597,128.316235870635,128.955385556578,0.163008366638125
"Boys",2002,10,133.908624693821,133.625967205268,134.182315886231,0.142614384899582
"Boys",2002,11,138.947095581282,138.67601075906,139.210744337068,0.136366885636486
"Boys",2002,12,144.680962416042,144.41890291311,144.943266653037,0.134974367936828
"Boys",2002,13,151.352709810322,151.093817882593,151.60541767423,0.131454022042495
"Boys",2002,14,157.620024686797,157.362353744075,157.874891835726,0.130374748456744
"Boys",2002,15,162.295456158948,162.057685275078,162.530108676075,0.120370766494486
"Boys",2002,16,165.195197392215,164.959941742734,165.430505516242,0.11818342104972
"Boys",2002,17,167.014988972345,166.794755576034,167.23829429716,0.114423947484001
"Boys",2002,18,168.181758151164,167.962506601557,168.40374323668,0.114003820776329
"Boys",2002,19,169.119864171976,168.892366564174,169.352246020085,0.116662907119831
"Boys",2003,5,107.265085957119,106.774294014871,107.804056785602,0.260049667127871
"Boys",2003,6,113.096719428551,112.671207436966,113.548422090685,0.222283831636231
"Boys",2003,7,118.534307669186,118.152977402455,118.922316548799,0.197206658200879
"Boys",2003,8,123.696433805789,123.345784538798,124.041618051882,0.176928604530083
"Boys",2003,9,128.674690131807,128.352417409629,128.995132930598,0.164130963927078
"Boys",2003,10,133.975309884363,133.695625884444,134.255382774154,0.142695944690027
"Boys",2003,11,139.021780308105,138.751445770124,139.284514879317,0.135888717569952
"Boys",2003,12,144.756768652561,144.491449888584,145.015992009997,0.13437547354846
"Boys",2003,13,151.431333299888,151.177982594207,151.68272355272,0.130741279185128
"Boys",2003,14,157.690425208771,157.434851062713,157.943820135821,0.12960464107864
"Boys",2003,15,162.429874935773,162.198563439726,162.661395031899,0.119331430543838
"Boys",2003,16,165.308481129218,165.07784512095,165.532897979639,0.117496474372644
"Boys",2003,17,167.109550416207,166.890664919772,167.32908098087,0.113014989729269
"Boys",2003,18,168.258512377764,168.040884707334,168.474818101641,0.112104393426577
"Boys",2003,19,169.194237661403,168.965752966592,169.419270657599,0.115414947032851
"Boys",2004,5,107.474166381106,106.985392359564,108.021698749619,0.261141396417418
"Boys",2004,6,113.257204072376,112.830289915409,113.713638549663,0.222924445596781
"Boys",2004,7,118.637650563811,118.244277791703,119.038705946886,0.198857861898067
"Boys",2004,8,123.749505941969,123.397971748387,124.0933123035,0.179331861760901
"Boys",2004,9,128.711634362594,128.383134508074,129.028396356372,0.165118187210506
"Boys",2004,10,134.014562056774,133.734337143009,134.292993341257,0.143521279034841
"Boys",2004,11,139.074489184531,138.803941606683,139.338385092131,0.13621034307749
"Boys",2004,12,144.817816192677,144.552201951895,145.075638968027,0.134242952095906
"Boys",2004,13,151.494664317329,151.239713117204,151.748980780287,0.130401330350693
"Boys",2004,14,157.758832390622,157.503760154971,158.009424352995,0.12912894352909
"Boys",2004,15,162.570743640497,162.338040205211,162.796935381717,0.118472094637966
"Boys",2004,16,165.432714063434,165.204881564396,165.661497950112,0.117036288424695
"Boys",2004,17,167.213528710105,166.993956647067,167.435708338447,0.112924682888773
"Boys",2004,18,168.34723511063,168.130132314677,168.562980596888,0.111466881183253
"Boys",2004,19,169.270411728817,169.040928860452,169.491027833952,0.114792526342601
"Boys",2005,5,107.725561381808,107.24050523038,108.275478653328,0.263042929188747
"Boys",2005,6,113.470204657311,113.050722343443,113.926174500588,0.222957306513395
"Boys",2005,7,118.801820975919,118.417889760757,119.199481243722,0.198561670577585
"Boys",2005,8,123.856240585577,123.504251417692,124.20640959737,0.180420481533792
"Boys",2005,9,128.767758277858,128.437050582943,129.093496684025,0.16710310277622
"Boys",2005,10,134.045665596805,133.764695173948,134.324958672324,0.144416834654068
"Boys",2005,11,139.105415135767,138.833567476229,139.37060514564,0.137033446305616
"Boys",2005,12,144.862711059781,144.594778884992,145.124229535772,0.13472927467205
"Boys",2005,13,151.549384634355,151.288680444759,151.798428083106,0.13045719905399
"Boys",2005,14,157.818107525941,157.562679437828,158.06816201696,0.128918829264115
"Boys",2005,15,162.705369223311,162.471545752144,162.930540710227,0.117905431708998
"Boys",2005,16,165.558010494827,165.330106485654,165.783255436528,0.116657035306073
"Boys",2005,17,167.324562115622,167.106445375276,167.541931576163,0.112995362783181
"Boys",2005,18,168.441800333056,168.220082867781,168.661465675621,0.112278091096632
"Boys",2005,19,169.353580639399,169.126613685957,169.58134799913,0.115451007463564
"Boys",2006,5,107.986434693165,107.497879493166,108.542455669646,0.265523987868265
"Boys",2006,6,113.727275110789,113.306173345231,114.179768018312,0.223828981719694
"Boys",2006,7,119.0205072035,118.643720416029,119.420312965546,0.19776088478036
"Boys",2006,8,124.026165546801,123.675825816856,124.380268416255,0.179411244730123
"Boys",2006,9,128.880281448606,128.549938936701,129.211088760092,0.167774009110926
"Boys",2006,10,134.086236586115,133.798365541348,134.368383247181,0.146868041139414
"Boys",2006,11,139.130697885807,138.860144139849,139.394924543207,0.137767219265874
"Boys",2006,12,144.88807275195,144.620766075272,145.150557614577,0.135510124039723
"Boys",2006,13,151.590095426866,151.331929249301,151.846635317992,0.13106130926747
"Boys",2006,14,157.870929270951,157.611580037183,158.117499821016,0.129111767660049
"Boys",2006,15,162.815903747668,162.58351432475,163.038710587992,0.117599541133392
"Boys",2006,16,165.674296884628,165.443442592613,165.899445092276,0.116244553956035
"Boys",2006,17,167.434870700363,167.209951700916,167.658103671964,0.113129768189661
"Boys",2006,18,168.541208776983,168.317582697353,168.765322546693,0.11300005891412
"Boys",2006,19,169.438207433492,169.205211884364,169.672414376011,0.117330623406425
"Boys",2007,5,108.237530070335,107.744132679445,108.797072385734,0.268779149252073
"Boys",2007,6,113.994585063434,113.567304108574,114.454344893434,0.225766186600302
"Boys",2007,7,119.284011117179,118.901434929213,119.681261174141,0.198035925719216
"Boys",2007,8,124.251549502798,123.903200076955,124.599597665821,0.178214068031821
"Boys",2007,9,129.057243064059,128.730477196092,129.387317642708,0.166433342844783
"Boys",2007,10,134.171667179718,133.878621139139,134.461211488615,0.148360365874998
"Boys",2007,11,139.165755355112,138.889258406563,139.433300007642,0.139984465684671
"Boys",2007,12,144.907993482964,144.640214259267,145.169398512114,0.136151394543599
"Boys",2007,13,151.611077943425,151.350478809261,151.867217994166,0.131876576784452
"Boys",2007,14,157.909329295607,157.653311436516,158.160454328228,0.129805649113698
"Boys",2007,15,162.901524136001,162.67009625474,163.125025316051,0.117750906983177
"Boys",2007,16,165.767481576163,165.536568739481,165.994901549397,0.116096803370152
"Boys",2007,17,167.537614301533,167.316576220702,167.75708592061,0.112897969735454
"Boys",2007,18,168.64028607441,168.414277474241,168.86382318311,0.113846664113149
"Boys",2007,19,169.525660531283,169.291383620143,169.759391350892,0.1188047887283
"Boys",2008,5,108.450583079214,107.951928524427,109.021667030662,0.271634300926949
"Boys",2008,6,114.251817197943,113.815862021319,114.716011199233,0.229077364980402
"Boys",2008,7,119.557473422224,119.171931131128,119.959524534,0.199866371608835
"Boys",2008,8,124.521520601964,124.173261583682,124.86530327513,0.178451536294899
"Boys",2008,9,129.289616815317,128.966804486906,129.61036436832,0.165322359521846
"Boys",2008,10,134.312630676192,134.018446599902,134.598046645197,0.148104029311254
"Boys",2008,11,139.248741879699,138.968655325477,139.519595651195,0.141356938484851
"Boys",2008,12,144.940969600431,144.66880093934,145.205389373996,0.138056023341572
"Boys",2008,13,151.629837442717,151.368623294349,151.884396485319,0.132608602223186
"Boys",2008,14,157.930806392925,157.668790102103,158.185688464492,0.130647574672527
