age,income,pto_days,vacation
24,21997,0,0
22,58000,12,0
44,79876,6,0
44,50000,3,0
39,4093,0,0
42,40445,0,0
60,87955,2,0
26,23000,4,0
55,79858,8,1
65,0,0,0
43,120284,11,1
56,41555,3,0
57,114800,3,1
58,75685,0,0
55,0,0,0
26,45808,0,0
38,38274,8,0
64,52000,2,1
57,202438,11,1
56,115789,10,1
53,107113,6,1
70,8601,5,0
47,58674,0,0
43,5750,6,0
68,18580,5,0
34,24445,2,0
26,21333,4,0
55,75821,10,0
36,10403,2,0
61,179327,2,0
35,9000,6,0
19,11503,0,0
30,56391,1,0
67,97517,3,0
57,103598,4,1
27,29800,5,1
26,31151,3,0
32,48000,11,1
31,346,4,0
39,150044,4,1
42,70000,8,1
72,69000,7,1
25,7132,6,0
60,90074,5,0
28,5499,1,0
40,14000,9,0
65,42444,6,0
48,174986,6,1
19,8111,3,0
25,16748,2,0
53,2439,2,0
27,16000,4,0
37,129882,8,1
72,53012,1,0
55,54285,10,1
42,25417,0,0
36,211348,6,1
34,21585,7,0
56,333,2,0
58,51000,5,1
52,45474,4,0
25,38701,2,0
41,307333,12,1
44,103445,5,1
20,17335,0,0
68,108438,12,1
49,39622,7,0
71,42418,1,0
39,26445,0,1
66,106441,9,1
37,48396,10,1
52,176321,8,1
61,117980,6,1
29,20376,0,0
28,19491,0,0
71,26668,12,0
57,11151,7,0
46,59333,8,1
32,9439,0,0
32,74000,6,0
39,90957,12,1
53,116605,4,1
23,1537,0,0
53,244329,7,1
21,19467,1,0
66,51098,6,0
27,63233,5,0
34,59535,2,0
41,58516,3,0
20,240913,0,0
21,96989,8,0
56,48684,3,0
43,29721,0,0
66,65467,5,1
44,82217,5,1
31,58603,2,0
53,43876,2,0
36,222,0,0
68,87176,0,0
19,33093,0,0
71,2345,3,0
24,15347,5,0
43,78214,1,0
52,88543,4,0
27,0,0,0
72,96000,9,1
31,63319,6,0
38,93020,4,0
70,42800,7,1
59,231233,5,0
65,36000,3,0
25,57000,8,0
46,12926,2,0
46,36000,0,0
56,56000,4,1
31,19936,3,0
40,37938,3,0
21,87262,1,0
69,60800,2,1
67,18153,2,0
54,243681,3,1
22,28310,0,0
28,16333,6,0
62,90343,2,0
22,28597,0,0
48,43893,1,0
25,71000,6,1
59,64245,4,1
43,242792,8,1
58,97226,1,0
56,3333,4,0
26,38410,2,0
56,16445,1,0
70,149086,12,1
29,31333,4,1
65,201534,12,1
51,62467,5,0
69,39778,3,1
67,91333,9,1
42,25333,8,0
57,57467,3,1
36,76888,3,0
32,64333,4,1
66,153850,12,1
21,1882,2,0
51,19066,8,0
47,72333,9,1
48,71333,8,1
65,31333,6,1
68,3085,1,0
33,79333,9,0
57,81000,7,0
54,31793,2,0
33,0,0,0
38,98951,5,0
53,147475,4,1
40,36000,3,0
51,62075,6,1
33,6250,7,0
62,19333,7,0
68,74116,6,0
54,85467,11,0
37,73955,12,1
29,70000,5,1
55,12394,2,0
45,179801,9,0
49,186911,12,1
43,39919,0,0
26,32245,1,0
73,66333,12,1
66,0,0,0
63,38333,9,0
42,109866,6,0
20,75427,2,0
57,94935,2,0
64,152544,9,1
59,12236,1,0
45,3491,3,0
71,58330,4,0
40,90445,7,0
57,45000,6,1
34,33445,1,1
51,24540,3,0
20,6218,0,0
42,70000,8,1
46,37000,0,0
45,72738,6,0
18,13562,0,0
59,78367,5,0
21,8666,6,0
59,65912,0,1
50,15333,12,0
30,333,2,0
67,60000,9,1
63,74829,8,0
29,299778,9,1
55,43489,3,0
34,80136,0,0
40,62166,6,1
47,192697,8,1
47,32333,8,0
44,39333,6,0
45,58000,6,1
64,64039,0,0
67,58333,10,0
62,0,0,0
18,2994,1,0
28,36000,7,1
39,91357,5,0
43,111541,10,1
41,69010,3,0
57,162111,10,1
70,63000,10,1
68,41326,4,0
54,67604,3,0
24,1088,0,0
31,26753,0,0
26,70333,8,1
47,26136,2,0
71,23003,4,0
64,89047,6,0
34,42645,4,0
24,68274,3,0
24,27851,5,0
44,110421,9,0
56,113906,6,1
23,4954,2,0
62,40261,5,0
52,66445,5,1
27,299467,9,1
64,201201,10,1
50,50806,3,0
45,59000,6,1
40,40273,0,0
45,12948,4,0
25,33309,0,0
58,333,2,0
31,18084,4,0
21,10333,2,0
52,56050,5,0
66,41641,3,0
21,33599,2,0
30,79217,1,0
40,185567,11,1
27,222,0,0
39,34456,5,0
22,12333,3,0
41,78029,5,0
24,4245,0,0
66,108362,9,1
22,23373,6,0
56,22445,3,0
50,555,0,0
59,28937,3,0
57,125404,7,1
67,81161,4,0
65,101036,9,1
52,75778,4,0
63,38000,6,0
65,38467,3,0
70,44333,8,1
43,68715,6,0
26,95612,0,0
69,31000,2,1
36,65000,6,1
58,81000,7,0
63,94766,3,0
58,54333,7,0
22,555,0,0
26,73470,4,0
27,33027,2,0
30,73706,2,0
58,22000,6,0
37,81870,0,0
68,51778,2,1
29,26183,0,0
52,14778,5,0
53,63546,9,1
57,14981,9,0
58,65769,1,0
53,732,3,0
57,3000,2,0
59,21931,2,0
34,12192,0,0
30,7912,2,0
23,77299,0,0
29,25075,2,0
26,27265,0,0
62,46778,0,1
28,10229,4,0
33,74714,4,0
25,20787,4,0
31,19917,0,0
44,28167,0,0
40,52000,10,1
25,3828,2,0
50,95728,0,0
74,64000,9,1
49,110445,0,1
66,58665,3,0
69,12325,4,0
61,124414,12,1
23,60000,2,1
41,79157,0,0
65,54778,3,1
48,89919,2,1
51,61000,5,0
49,53434,3,0
49,84674,3,0
53,22511,2,0
23,59778,1,1
54,197256,10,1
23,61414,6,0
50,4650,7,0
72,84928,4,0
22,41912,4,1
29,694,0,0
53,62778,5,0
75,39232,4,0
66,64333,5,0
60,19907,7,0
44,78706,8,1
41,242801,10,1
30,12551,2,0
29,17896,2,0
43,49351,0,0
56,96277,9,1
60,73125,6,0
70,94343,2,0
62,22830,3,0
76,77382,8,0
63,12000,2,0
55,1555,0,0
25,52839,1,0
43,36445,0,0
53,3922,0,0
36,115966,9,1
69,42467,5,1
50,22046,5,0
32,93786,3,0
72,80635,2,0
74,57488,0,0
23,23935,6,0
26,7911,2,0
24,60333,4,1
43,79423,0,0
42,158914,8,1
22,24358,0,0
34,36000,7,1
29,33000,3,0
24,84780,6,0
53,75266,7,0
44,98056,0,0
67,39240,5,0
60,42087,6,0
66,168116,3,1
27,69445,2,1
48,173432,9,1
42,41796,0,0
54,14857,5,0
32,27920,2,0
35,26000,5,1
59,36970,9,0
52,80000,9,0
41,164566,10,1
63,169986,6,1
20,29467,3,1
59,45819,9,0
21,32191,5,0
71,35000,4,1
61,53000,6,1
40,54665,0,0
53,110663,8,1
58,33333,6,0
57,113467,0,1
35,32333,4,0
62,231766,6,0
43,90333,12,0
19,72778,8,1
31,78778,6,0
62,9563,3,0
30,22467,2,1
25,58778,0,1
66,30467,1,1
34,48215,4,0
47,13333,12,0
67,39000,5,0
47,35812,2,0
58,138461,2,1
49,11000,5,0
67,107901,10,1
55,79333,8,0
25,86962,0,0
62,68584,0,0
59,109264,12,1
57,78333,7,0
70,159593,8,1
51,199779,12,1
58,217192,10,1
21,27264,0,0
50,99333,9,0
62,78900,6,0
32,35000,4,0
52,15467,6,0
52,17467,7,0
21,68935,1,0
43,106000,12,1
55,237708,7,1
75,64190,5,0
66,56892,5,0
25,99530,4,1
19,11233,0,0
37,242112,10,1
69,27177,0,0
27,8436,2,0
40,0,0,0
56,21398,1,0
48,25613,3,0
63,27843,2,0
48,50401,5,0
53,94525,2,0
32,40402,3,0
39,84734,2,0
71,99594,6,0
62,46230,6,0
33,13401,0,0
54,41768,0,0
73,70088,4,0
46,45000,4,0
29,66292,5,0
49,128142,5,0
41,103333,12,1
23,76333,12,1
65,108236,11,1
43,77468,2,0
61,11301,7,0
66,36333,5,0
28,24981,1,0
24,87795,2,0
33,79989,3,0
48,38000,0,0
48,44333,5,0
28,11192,0,0
41,31551,0,0
23,65101,0,0
70,63445,0,1
28,25739,0,0
23,89460,3,0
32,68146,5,0
64,42137,1,0
51,51467,4,0
48,76148,0,0
55,43333,7,1
31,7004,0,0
21,2380,2,0
54,76333,6,0
57,80413,11,1
34,87755,5,0
60,120107,10,1
28,1662,0,0
61,83332,2,0
63,48078,5,0
54,85898,1,0
22,10229,0,0
54,29662,3,0
28,7278,0,0
24,24342,0,0
52,33514,2,0
43,77977,1,0
72,61000,7,1
38,130215,10,1
37,50853,3,0
72,85996,3,0
29,19334,1,0
62,9731,0,0
44,30054,2,0
24,80982,5,0
55,34777,1,0
47,12000,8,0
44,85433,4,0
36,17145,1,0
28,95286,3,0
28,73151,0,0
46,15711,3,0
47,15800,12,0
26,34333,8,1
61,53778,2,0
28,31000,2,1
70,73088,6,1
58,73407,10,1
58,86709,12,1
50,59445,1,0
47,154025,7,1
30,71000,4,0
48,2445,0,0
46,87616,7,0
67,41000,4,1
51,46178,12,1
33,0,0,0
59,115000,2,1
39,6350,5,0
22,58000,12,0
25,21028,0,0
43,99739,4,1
37,27333,4,0
29,94178,2,0
38,26445,0,1
69,25920,4,0
25,64000,4,1
60,114000,1,1
49,199224,9,1
35,10467,6,0
49,61633,3,0
30,14635,0,0
30,73467,4,0
45,98389,2,0
49,9280,1,0
45,74460,8,0
44,93000,12,0
36,10800,8,0
45,39467,1,0
30,301000,10,1
49,51000,7,0
61,81980,0,0
62,25445,2,0
58,96591,0,0
41,179009,9,1
71,26013,4,0
21,21659,0,0
45,5514,4,0
47,231812,9,1
42,77964,2,0
45,26014,4,0
35,36800,3,0
34,22416,3,0
43,102000,7,1
21,19979,0,0
65,57874,0,0
45,41469,0,0
24,26418,3,0
36,26333,8,0
34,2979,0,0
75,74000,8,1
30,59665,3,0
61,18106,2,0
51,91863,2,0
58,245560,9,1
55,60826,3,0
26,35445,4,1
70,34405,6,0
22,15230,5,0
54,55467,2,1
29,34038,4,0
56,80447,6,1
72,18774,5,0
55,54445,0,1
59,123467,6,1
42,3288,1,0
53,25095,6,0
23,24455,1,0
42,70960,4,0
26,64415,5,0
28,96557,9,0
67,80562,6,1
45,54000,1,1
26,50402,0,0
73,48214,0,0
66,56307,5,0
54,79000,6,0
19,333,2,0
35,80967,2,0
60,15648,0,0
46,103125,7,1
29,12000,2,0
51,65333,11,1
63,7183,0,0
25,5160,0,0
66,83224,6,0
32,52410,2,0
57,70807,9,1
25,6333,2,0
26,36081,2,0
32,35000,4,0
52,49000,3,0
43,29000,4,1
45,0,0,0
28,63917,2,0
60,3467,0,0
19,70245,6,1
34,82000,9,0
66,73916,7,0
19,19684,0,0
38,35618,1,0
54,19445,1,0
61,45051,0,0
57,200813,10,1
36,215524,10,0
50,81652,2,0
57,79333,8,0
53,15445,4,0
39,67525,0,0
26,69800,7,1
28,64156,1,0
50,74000,4,0
45,29412,0,0
47,51168,4,0
54,11148,0,0
63,35445,0,0
56,97468,0,0
51,74333,6,0
68,60333,11,1
26,38905,2,0
20,7631,6,0
32,2946,0,0
48,12445,2,0
25,12624,7,0
37,39445,1,0
41,82618,9,1
33,45445,4,1
59,51000,4,1
67,35454,0,0
24,23421,1,0
40,63212,2,0
61,234383,8,1
34,12029,2,0
59,11000,1,0
39,158803,10,1
29,26000,5,0
65,122201,9,1
58,50350,8,0
26,30445,0,1
34,70757,4,0
24,15160,0,0
23,15551,3,0
26,32694,0,0
59,82777,0,0
54,108176,9,1
37,165594,12,0
71,87724,2,0
70,27399,1,0
26,28000,3,1
34,32031,1,0
35,71333,5,1
53,52404,6,0
69,68778,5,0
21,86569,2,0
23,8558,6,0
57,28604,2,0
28,5034,0,0
37,44477,9,1
30,333,2,0
50,30500,1,0
67,12775,8,0
37,26556,3,0
38,49333,11,1
44,50000,3,0
27,29800,5,1
38,88679,6,1
71,69333,8,0
74,14483,3,0
50,0,0,0
22,241468,3,0
35,47633,1,0
50,40362,8,0
52,68000,11,1
39,93684,6,0
57,47467,6,1
44,13912,7,0
43,110088,7,0
32,31647,2,0
55,79000,6,0
62,54854,4,0
46,173222,7,1
22,15000,6,0
49,59003,1,0
22,59000,12,0
57,34467,4,0
19,81373,1,0
29,90149,6,0
67,60245,0,1
26,59000,0,1
61,79000,3,0
39,25445,0,1
41,61008,0,0
23,19047,0,0
26,78000,10,0
66,41333,10,0
38,92602,4,0
28,7872,2,0
20,23116,0,0
39,62879,0,0
59,64445,0,1
52,14000,6,0
56,85778,9,0
71,103961,12,1
33,36604,0,0
72,66000,12,1
55,80000,7,0
65,32778,5,1
26,10129,5,0
63,107829,8,1
35,72502,4,0
55,42144,5,0
65,67333,4,1
27,59333,2,1
26,63030,2,0
39,28000,6,0
48,38434,7,0
48,45505,4,0
69,62000,0,1
68,1645,5,0
33,5099,5,0
65,0,0,0
40,218444,9,1
35,0,0,0
72,51559,5,0
69,62761,1,0
52,13000,6,0
28,77000,7,0
56,11703,0,0
28,26160,2,0
56,91461,1,0
67,106774,11,1
50,48800,4,0
20,10839,0,0
35,45497,3,0
38,44455,7,1
45,84105,3,0
26,25171,2,0
22,35835,4,0
73,42333,4,1
23,31000,4,1
31,10834,0,0
19,59333,6,1
44,17313,3,0
62,21333,4,0
39,3570,1,0
37,42245,4,0
68,66778,5,1
69,98072,6,0
41,12589,2,0
52,39000,2,0
52,48000,2,0
33,8445,3,0
35,306000,12,1
21,9000,3,0
35,115988,11,1
42,103245,6,1
45,73333,12,1
34,36800,4,0
34,17001,2,0
54,88060,8,0
26,72197,0,0
67,65000,2,1
27,11857,1,0
59,12333,4,0
53,108778,0,1
74,72333,9,0
49,38333,2,0
57,58445,2,1
47,71000,6,1
51,167527,11,1
51,71493,6,0
46,225147,8,1
40,28333,8,0
65,39677,2,0
56,70977,7,0
44,30445,6,0
42,229347,5,0
36,301333,10,1
23,12800,3,0
24,28552,1,0
68,63333,2,1
59,20393,3,0
62,25333,9,0
42,211422,7,1
39,98447,3,0
62,54800,7,0
44,91467,7,0
65,55387,5,0
47,2467,1,0
75,59153,0,0
19,30127,0,0
60,73503,9,1
57,10445,0,0
69,69000,0,1
46,94436,3,0
22,54000,7,0
62,11778,1,0
26,33333,8,1
31,73800,6,0
42,64466,4,0
42,90000,10,0
41,39333,5,0
61,25000,7,0
65,116554,9,1
49,29,3,0
66,30333,11,0
23,70637,2,0
58,69860,12,1
29,30775,1,0
60,174216,9,1
24,13918,0,0
42,58025,9,1
56,79928,6,0
53,89691,0,0
64,30000,10,0
47,14445,8,0
36,150649,7,0
63,90052,6,0
70,26335,12,0
47,56687,2,0
40,27467,7,0
24,62445,1,1
25,51921,6,0
52,40184,4,0
53,111692,9,1
62,236476,11,1
34,40424,3,0
24,28116,0,0
23,15000,3,0
54,2772,4,0
55,63333,8,0
21,20239,0,0
30,55846,3,0
61,110116,6,1
26,63333,6,1
41,44251,3,0
23,61000,3,1
31,9217,0,0
27,25445,2,0
27,22778,2,0
61,28000,9,0
38,93351,4,0
36,33633,6,0
47,93975,5,0
73,88264,1,0
51,40000,1,0
22,8000,2,0
22,72000,6,1
53,0,0,0
60,49000,5,1
53,15000,6,0
23,47418,1,0
64,54358,5,1
42,50445,0,0
29,61000,0,1
44,52445,2,0
70,66000,5,1
56,555,0,0
45,36412,3,0
43,9778,7,0
60,73941,3,0
63,54000,2,0
44,8327,3,0
62,95111,1,0
59,53333,6,0
49,77778,8,1
38,100000,9,1
32,30372,0,0
55,17287,6,0
23,58000,11,0
39,40000,4,0
58,63721,8,0
29,24971,0,0
31,23519,0,0
57,4715,0,0
32,299000,7,1
63,28333,10,0
60,45800,5,1
69,65937,0,0
39,103983,5,1
66,239252,4,1
52,58445,0,0
37,67445,4,1
36,184936,5,0
71,13932,3,0
65,47365,0,0
63,36146,2,0
40,57827,5,1
60,50333,6,1
67,70000,3,1
19,35718,4,0
55,21176,0,0
60,51553,10,0
56,16333,9,0
59,175066,10,1
58,53000,4,0
42,90000,10,0
42,48813,6,0
64,86081,12,1
22,31541,0,0
60,114333,4,1
49,71431,2,0
63,10027,7,0
54,28811,1,0
20,77085,4,0
64,28445,0,1
57,48360,0,0
51,40000,1,0
68,151110,9,1
47,81018,2,0
32,15256,0,0
32,88398,5,0
29,38918,4,0
22,24420,0,0
49,23627,2,0
61,1333,2,0
21,43588,6,0
35,178009,9,1
66,4345,5,0
53,78701,3,0
51,49000,4,0
65,49692,0,0
29,10566,3,0
55,98076,5,0
27,89594,3,0
68,240786,12,1
50,66089,4,0
25,62580,6,0
53,61138,0,0
49,27723,0,0
64,3028,0,0
63,179882,5,0
34,15245,9,0
68,117939,7,1
31,9478,2,0
58,14910,3,0
67,31778,2,1
32,97467,7,1
75,99273,2,0
48,96926,2,0
39,177076,8,1
30,35445,1,0
47,13000,9,0
47,0,0,0
72,97730,2,0
25,85113,8,0
19,5000,1,0
72,68000,3,1
37,60367,8,1
39,231972,10,1
26,555,0,0
29,46394,0,0
30,86881,8,0
25,62697,0,0
47,104333,10,1
53,15445,5,0
69,77923,3,0
31,98497,1,0
62,54096,1,0
19,1051,4,0
60,4445,0,0
20,28398,0,0
64,61000,3,1
67,38000,3,1
37,42197,9,1
54,81333,12,1
39,51591,2,0
31,12886,0,0
59,30688,7,0
74,36556,2,0
22,333,2,0
68,12026,5,0
32,303000,12,1
34,56712,6,0
64,3790,2,0
26,51988,0,0
49,46000,2,0
48,124057,9,0
23,99057,5,0
36,175278,10,1
26,10000,2,0
25,38572,0,0
68,52333,9,1
47,44000,3,0
43,29000,8,0
64,26000,5,0
63,21090,2,0
55,89240,11,1
32,29465,2,0
68,86628,9,1
65,90252,5,0
31,98776,2,0
24,0,0,0
32,22778,2,1
34,73806,3,0
25,97681,0,0
49,54970,0,0
21,62000,5,1
44,1477,8,0
36,5924,2,0
61,49000,4,1
66,25387,3,0
53,73244,6,0
31,11121,6,0
70,151310,8,1
58,16764,3,0
61,54000,6,1
18,21715,0,0
46,13000,10,0
69,94695,3,0
44,28000,7,0
19,56445,0,1
15,53912,6,0
52,132577,9,1
24,82461,2,0
40,98669,4,0
68,60760,8,0
65,89445,3,1
45,51989,0,0
40,150377,6,1
28,9238,4,0
47,12467,4,0
70,85290,0,0
63,132815,3,0
22,6667,2,0
68,69000,2,1
33,75419,5,0
23,21000,3,0
72,19841,4,0
44,53778,0,1
26,64333,6,1
53,124649,5,1
56,49130,3,0
39,28000,5,1
40,33553,3,0
37,25333,7,0
66,50756,2,0
44,94351,0,0
55,13206,4,0
60,26445,5,0
70,57043,0,0
59,47445,1,1
23,69445,3,1
39,69800,10,1
28,4605,0,0
54,70274,8,1
32,56326,5,0
64,143721,8,1
69,118650,9,1
22,73333,9,0
66,38674,2,0
25,11657,2,0
68,1574,5,0
44,219199,12,1
21,15351,4,0
46,141889,12,1
66,38800,5,0
31,73445,2,0
26,68333,7,1
60,92427,9,1
45,98333,11,1
63,9029,8,0
54,73778,0,0
37,28240,8,0
17,70912,2,1
45,153470,4,1
33,98912,5,1
25,22445,0,0
47,165387,8,1
70,333,2,0
60,0,2,0
36,14289,2,0
72,92000,4,1
49,221181,12,1
39,43940,3,0
42,60211,2,0
59,85000,9,0
63,57971,2,0
29,14607,5,0
69,94121,1,0
37,92798,3,0
31,26738,3,0
67,87778,8,1
19,56445,0,1
59,53563,0,0
40,39333,6,0
63,45606,2,0
24,23817,2,0
22,27404,5,0
24,85460,2,0
56,112000,2,1
42,92100,4,0
44,151132,8,1
48,118891,6,1
22,9888,0,0
43,73905,5,0
72,72002,5,0
31,76333,11,1
63,2571,2,0
23,60000,3,1
58,132907,7,0
56,79000,6,0
53,16778,7,0
64,32445,3,1
26,12529,0,0
37,161787,3,0
67,108695,11,1
65,50173,9,1
63,35445,0,0
70,67818,2,0
64,92579,9,1
61,47000,5,1
57,117634,12,0
61,54467,5,0
21,73333,11,1
63,77586,1,0
21,10554,0,0
22,29609,2,0
72,87946,3,0
62,29445,7,0
45,129899,10,1
38,6463,3,0
32,87881,0,0
65,47327,5,0
46,248632,11,1
55,16000,8,0
34,90728,12,1
56,24349,0,0
44,9912,2,0
58,81002,9,1
59,49605,2,0
29,19362,0,0
67,55445,1,1
29,56058,0,0
25,75333,10,0
63,58130,12,1
35,58771,0,0
22,22581,2,0
54,158349,7,1
33,72000,4,1
51,30905,0,0
30,46000,9,1
25,19944,3,0
56,104333,11,0
30,72333,7,0
25,64659,3,0
31,16076,1,0
47,76000,8,1
51,106558,3,1
35,52553,5,0
66,38319,0,0
34,97353,2,0
55,81445,4,0
51,99640,1,0
72,3631,3,0
54,120000,8,1
19,40981,1,0
29,66630,0,0
68,53787,5,0
60,5229,11,0
56,79000,6,0
46,26000,4,0
63,55419,0,0
43,29000,4,1
44,85030,7,1
21,75264,2,0
55,44445,3,1
67,208269,12,1
67,10952,3,0
31,18333,7,0
34,14404,2,0
27,27475,2,0
53,17445,5,0
69,97060,1,0
72,32360,0,0
68,133996,8,1
38,62923,5,0
56,95341,5,0
56,50333,5,0
25,22773,0,0
42,218644,9,1
51,49245,1,0
65,51333,4,1
42,26333,5,0
67,66333,2,1
75,37435,5,0
55,49462,3,0
67,48533,2,0
