player_name,player_height
Robert Parish,215.9
Robert Werdann,210.82
Rod Strickland,190.5
Rodney Rogers,200.66
Rex Walters,193.04
Rafael Addison,203.2
Stacey Augmon,203.2
Stanley Roberts,213.36
Tracy Moore,193.04
Tracy Murray,200.66
Travis Best,180.34
Travis Knight,213.36
Tyrone Corbin,198.12
Tyrone Hill,205.74
Tyus Edney,177.8
Vernon Maxwell,193.04
Vin Baker,210.82
Vincent Askew,198.12
Vinny Del Negro,193.04
Tony Smith,193.04
Vitaly Potapenko,208.28
Voshon Lenard,193.04
Walt Williams,203.2
Walter McCarty,208.28
Wayman Tisdale,205.74
Wesley Person,198.12
Will Perdue,213.36
Willie Anderson,203.2
Willie Burton,203.2
Xavier McDaniel,200.66
Yinka Dare,213.36
Zan Tabak,213.36
Vlade Divac,215.9
Stacey King,210.82
Tony Massenburg,205.74
Tony Delk,187.96
Stephen Howard,205.74
Stephon Marbury,187.96
Steve Hamer,213.36
Steve Kerr,190.5
Steve Nash,190.5
Steve Scheffler,205.74
Steven Smith,203.2
Stevin Smith,187.96
Stojko Vrankovic,218.44
Terrell Brandon,180.34
Terry Cummings,205.74
Tony Dumas,198.12
Terry Dehere,193.04
Terry Porter,190.5
Theo Ratliff,208.28
Tim Hardaway,182.88
Tim Kempton,208.28
Tim Legler,193.04
Todd Day,198.12
Todd Fuller,210.82
Tom Chambers,208.28
Tom Gugliotta,208.28
Tom Hammonds,205.74
Toni Kukoc,210.82
Terry Mills,208.28
Priest Lauderdale,223.52
Shawn Respert,187.96
Pooh Richardson,185.42
Kevin Duckworth,213.36
Kevin Edwards,190.5
Kevin Gamble,195.58
Kevin Garnett,210.82
Kevin Johnson,185.42
Kevin Salvadori,213.36
Kevin Willis,213.36
Khalid Reeves,190.5
Kobe Bryant,200.66
Kurt Thomas,205.74
LaPhonso Ellis,203.2
LaSalle Thompson,208.28
Lamond Murray,200.66
Larry Johnson,200.66
Larry Krystkowiak,205.74
Larry Stewart,203.2
Latrell Sprewell,195.58
Lawrence Moten,195.58
Lee Mayberry,185.42
Lindsey Hunter,187.96
Lionel Simmons,200.66
Litterial Green,185.42
Lloyd Daniels,200.66
Kerry Kittles,195.58
Kenny Smith,190.5
Kenny Anderson,185.42
Kendall Gill,195.58
Jim Jackson,198.12
Popeye Jones,203.2
Jimmy Carruth,208.28
Jimmy King,195.58
Jimmy Oliver,195.58
Joe Courtney,203.2
Joe Dumars,190.5
Joe Kleine,213.36
Joe Smith,208.28
Joe Stephens,200.66
Joe Wolf,210.82
Loren Meyer,208.28
John Crotty,187.96
John Starks,195.58
John Stockton,185.42
John Wallace,205.74
Johnny Newman,200.66
Jon Barry,195.58
Jud Buechler,198.12
Juwan Howard,205.74
Karl Malone,205.74
Keith Askins,203.2
Keith Tower,210.82
Ken Norman,203.2
John Long,195.58
Lorenzen Wright,210.82
Jim McIlvaine,215.9
Lou Roe,200.66
Michael Curry,195.58
Michael Finley,200.66
Michael Hawkins,182.88
Michael Jordan,198.12
Michael Smith,203.2
Mike Brown,208.28
Mitch Richmond,195.58
Mitchell Butler,195.58
Monty Williams,203.2
Moochie Norris,187.96
Mookie Blaylock,185.42
Michael Cage,205.74
Muggsy Bogues,160.02
Nate McMillan,195.58
Nick Anderson,198.12
Nick Van Exel,185.42
Olden Polynice,213.36
Oliver Miller,205.74
Othella Harrington,205.74
Otis Thorpe,208.28
P.J. Brown,210.82
Patrick Ewing,213.36
Pervis Ellison,205.74
Lorenzo Williams,205.74
Nate Driggers,195.58
Melvin Booker,187.96
Pete Chilcutt,208.28
Matt Maloney,190.5
Matt Steigenga,200.66
Loy Vaught,205.74
Luc Longley,218.44
Lucious Harris,195.58
Mahmoud Abdul-Rauf,185.42
Malik Rose,200.66
Malik Sealy,203.2
Marcus Camby,210.82
Mario Elie,195.58
Mark Bradtke,208.28
Mark Bryant,205.74
Marcus Brown,190.5
Mark Hendrickson,205.74
Mark Jackson,190.5
Mark Price,182.88
Mark Strickland,208.28
Matt Geiger,215.9
Mark West,208.28
Martin Lewis,198.12
Martin Muursepp,205.74
Marty Conlon,210.82
Matt Bullard,208.28
Matt Fish,210.82
Mark Davis,200.66
